,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,317,331,330,316,331,322,332,345,336,330,343,322,324,318,325,332,305,328,330,335,328,346,331,333,331,342,325,328,331,340,340,331,314,316,315,313,328,332,337,307,312,323,332,321,320,320,321,331,313,319,339,338,314,322,321,340,326,319,322,339,317,326,336,343,337,327,308,332,333,317,327,327,320,328,325,310,320,306,325,332,337,314,297,309,332,344,338,307,337,308,316,334,320,329,323,311,331,333,325,333
classroom,668,658,637,670,649,626,684,647,654,657,673,685,657,652,608,568,626,640,599,668,610,597,641,632,606,604,643,635,614,633,596,642,606,625,580,647,628,602,647,640,628,569,606,624,645,622,645,651,631,637,623,678,663,602,610,650,649,624,623,627,608,647,645,654,624,650,698,618,640,626,626,601,673,608,671,604,612,605,615,654,641,657,568,606,583,644,629,593,657,598,682,610,600,671,633,604,653,637,668,650
dining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,1258,1235,1263,1289,1250,1307,1242,1239,1247,1271,1254,1250,1259,1260,1302,1356,1318,1271,1331,1258,1281,1310,1271,1268,1314,1282,1249,1262,1321,1246,1305,1260,1344,1313,1346,1308,1280,1305,1284,1314,1295,1326,1341,1297,1287,1300,1286,1265,1278,1258,1280,1237,1277,1324,1333,1258,1287,1299,1329,1309,1321,1266,1254,1250,1259,1276,1233,1303,1294,1264,1273,1324,1253,1295,1244,1338,1314,1330,1292,1273,1266,1269,1365,1302,1333,1272,1288,1333,1249,1359,1264,1279,1316,1222,1313,1332,1260,1277,1233,1291
transit,0,3,1,0,1,0,1,1,1,1,1,2,2,0,0,0,1,0,0,1,1,2,1,0,1,2,2,3,1,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,2,1,0,0,1,1,1,0,0,3,0,2,2,0,0,1,0,3,0,1,0,1,0,2,1,0,0,0,0,3,1,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
offCampus,1,2,2,0,3,2,1,1,0,5,2,1,3,1,2,6,2,2,2,2,1,0,1,2,1,0,4,5,1,0,3,1,1,0,3,2,4,4,2,1,5,2,3,1,2,3,4,1,2,1,3,1,0,5,4,1,1,3,0,4,3,5,3,2,2,1,1,1,0,1,3,1,3,1,0,3,2,1,2,0,1,1,1,4,2,1,0,2,4,0,1,4,3,1,0,1,1,2,4,1
office,39,33,39,51,55,61,48,59,37,45,51,63,30,48,47,35,43,53,30,36,48,39,63,40,46,49,62,28,28,72,49,51,53,44,54,37,68,34,44,53,66,67,31,36,42,30,59,64,63,72,31,54,41,54,28,43,38,47,40,37,59,43,44,46,59,45,55,55,42,58,76,30,49,62,64,49,34,58,60,39,50,61,54,32,39,33,44,53,47,35,30,79,36,56,40,32,32,48,48,35
largeGathering,87,108,98,44,81,52,62,78,95,61,46,47,95,91,86,73,75,76,78,70,101,76,62,95,71,91,85,109,74,79,77,84,52,72,72,61,62,93,56,55,63,82,56,91,74,93,54,58,83,82,93,61,75,63,71,78,67,76,56,54,61,83,85,75,88,71,74,61,59,103,65,87,72,76,63,65,88,69,76,72,74,66,85,117,81,76,71,82,75,69,76,63,95,91,61,89,93,73,91,60
dorm_hub,17,21,17,14,20,14,12,20,14,20,19,9,15,12,20,20,12,14,16,13,13,17,15,9,20,16,18,19,13,8,22,15,18,10,14,16,17,11,13,14,8,16,19,14,13,17,17,17,11,13,15,19,15,22,16,16,14,12,14,22,13,21,11,16,23,15,9,17,12,14,17,13,12,13,11,10,13,15,10,15,17,11,5,15,16,23,16,14,16,15,13,12,20,11,18,13,18,15,19,12
