,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,13.0,30.0,6.0,11.0,24.0,7.0,18.0,24.0,26.0,10.0,8.0,16.0,26.0,22.0,9.0,22.0,11.0,15.0,12.0,4.0,28.0,13.0,26.0,23.0,5.0,31.0,10.0,18.0,0.0,16.0,16.0,9.0,5.0,17.0,10.0,14.0,11.0,17.0,25.0,13.0,24.0,24.0,9.0,17.0,16.0,2.0,15.0,10.0,7.0,15.0,20.0,21.0,20.0,23.0,13.0,7.0,18.0,17.0,9.0,25.0,3.0,12.0,4.0,5.0,8.0,22.0,8.0,4.0,32.0,23.0,7.0,21.0,12.0,5.0,17.0,10.0,0.0,34.0,22.0,22.0,20.0,16.0,8.0,22.0,20.0,25.0,18.0,18.0,34.0,10.0,6.0,22.0,18.0,17.0,8.0,13.0,4.0,19.0,8.0,20.0
dorm,102.0,105.0,73.0,86.0,95.0,91.0,76.0,91.0,86.0,86.0,72.0,63.0,102.0,74.0,82.0,89.0,75.0,90.0,62.0,72.0,104.0,82.0,87.0,86.0,29.0,123.0,81.0,72.0,25.0,109.0,90.0,57.0,74.0,83.0,58.0,75.0,75.0,69.0,69.0,73.0,50.0,82.0,88.0,85.0,68.0,52.0,72.0,63.0,77.0,80.0,91.0,104.0,68.0,69.0,64.0,47.0,78.0,65.0,69.0,93.0,73.0,70.0,43.0,74.0,50.0,129.0,54.0,51.0,101.0,78.0,73.0,73.0,84.0,68.0,82.0,63.0,25.0,85.0,63.0,96.0,81.0,80.0,56.0,71.0,71.0,97.0,73.0,77.0,117.0,99.0,84.0,70.0,97.0,65.0,44.0,37.0,26.0,59.0,69.0,69.0
classroom,71.0,86.0,47.0,73.0,58.0,64.0,70.0,70.0,67.0,53.0,48.0,45.0,73.0,59.0,69.0,60.0,61.0,54.0,55.0,67.0,77.0,58.0,74.0,90.0,24.0,96.0,72.0,64.0,34.0,66.0,61.0,59.0,47.0,55.0,54.0,57.0,82.0,70.0,63.0,72.0,45.0,66.0,76.0,56.0,67.0,49.0,75.0,57.0,50.0,76.0,59.0,85.0,63.0,50.0,46.0,56.0,61.0,54.0,52.0,87.0,71.0,53.0,43.0,54.0,48.0,94.0,64.0,39.0,70.0,56.0,57.0,50.0,70.0,44.0,57.0,55.0,35.0,60.0,61.0,71.0,64.0,59.0,54.0,64.0,60.0,68.0,57.0,76.0,89.0,93.0,73.0,72.0,62.0,50.0,45.0,37.0,35.0,47.0,47.0,61.0
dining,15.0,17.0,17.0,19.0,20.0,21.0,12.0,13.0,11.0,15.0,22.0,8.0,9.0,21.0,15.0,21.0,18.0,18.0,14.0,11.0,24.0,18.0,17.0,17.0,7.0,25.0,17.0,13.0,4.0,18.0,16.0,17.0,10.0,14.0,18.0,15.0,14.0,16.0,14.0,18.0,3.0,11.0,12.0,16.0,21.0,13.0,12.0,15.0,7.0,25.0,13.0,19.0,9.0,11.0,8.0,15.0,24.0,17.0,12.0,9.0,12.0,19.0,7.0,20.0,9.0,23.0,5.0,12.0,17.0,16.0,15.0,8.0,17.0,11.0,22.0,19.0,6.0,20.0,13.0,18.0,13.0,23.0,11.0,14.0,15.0,14.0,17.0,13.0,16.0,13.0,27.0,15.0,27.0,9.0,9.0,9.0,5.0,12.0,9.0,13.0
library,12.0,11.0,7.0,11.0,7.0,11.0,4.0,11.0,15.0,7.0,10.0,10.0,15.0,9.0,12.0,8.0,7.0,13.0,6.0,7.0,9.0,9.0,11.0,8.0,4.0,15.0,11.0,13.0,5.0,11.0,8.0,10.0,16.0,14.0,10.0,11.0,14.0,4.0,7.0,8.0,6.0,13.0,15.0,9.0,9.0,14.0,9.0,8.0,8.0,16.0,11.0,13.0,9.0,10.0,10.0,9.0,9.0,3.0,17.0,8.0,10.0,7.0,6.0,7.0,5.0,12.0,5.0,5.0,6.0,14.0,14.0,9.0,5.0,9.0,10.0,3.0,5.0,6.0,4.0,15.0,6.0,13.0,15.0,11.0,9.0,9.0,10.0,10.0,16.0,17.0,6.0,10.0,15.0,5.0,5.0,6.0,6.0,6.0,5.0,11.0
gym,33.0,45.0,32.0,34.0,36.0,30.0,22.0,41.0,21.0,29.0,25.0,16.0,32.0,17.0,31.0,29.0,21.0,30.0,16.0,20.0,41.0,31.0,26.0,25.0,2.0,41.0,23.0,23.0,8.0,38.0,25.0,20.0,13.0,38.0,20.0,14.0,28.0,23.0,18.0,27.0,15.0,27.0,27.0,27.0,25.0,7.0,26.0,18.0,24.0,34.0,27.0,32.0,12.0,15.0,21.0,11.0,24.0,18.0,20.0,21.0,15.0,14.0,9.0,26.0,4.0,49.0,14.0,11.0,26.0,29.0,26.0,26.0,35.0,21.0,28.0,29.0,15.0,23.0,13.0,36.0,26.0,39.0,18.0,17.0,26.0,46.0,33.0,17.0,46.0,35.0,23.0,44.0,37.0,20.0,27.0,17.0,13.0,21.0,16.0,22.0
social,102.0,126.0,92.0,111.0,111.0,134.0,95.0,116.0,101.0,122.0,95.0,89.0,134.0,110.0,108.0,119.0,102.0,112.0,76.0,103.0,123.0,90.0,136.0,119.0,42.0,166.0,111.0,93.0,31.0,134.0,120.0,84.0,85.0,105.0,81.0,102.0,106.0,88.0,127.0,100.0,65.0,67.0,123.0,104.0,85.0,64.0,104.0,122.0,105.0,123.0,123.0,170.0,91.0,109.0,101.0,88.0,100.0,90.0,111.0,120.0,112.0,86.0,53.0,104.0,84.0,146.0,88.0,73.0,131.0,95.0,113.0,119.0,130.0,82.0,110.0,102.0,36.0,137.0,80.0,120.0,98.0,118.0,93.0,117.0,116.0,115.0,120.0,109.0,132.0,139.0,111.0,121.0,131.0,81.0,56.0,40.0,36.0,91.0,87.0,97.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
offCampus,7.0,3.0,3.0,7.0,2.0,2.0,3.0,4.0,8.0,2.0,6.0,1.0,4.0,2.0,7.0,6.0,5.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,6.0,4.0,5.0,2.0,0.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,6.0,5.0,5.0,4.0,6.0,6.0,4.0,5.0,2.0,3.0,2.0,6.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,2.0,3.0,8.0,3.0,4.0,2.0,5.0,5.0,3.0,6.0,1.0,2.0,4.0,5.0,4.0,5.0,8.0,2.0,5.0,7.0,3.0,7.0,2.0,10.0,3.0,4.0,4.0,6.0,5.0,6.0,4.0,3.0,5.0,2.0,8.0
office,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,8.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
