,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,102,105,73,86,95,91,76,91,86,86,72,63,102,74,82,89,75,90,62,72,104,82,87,86,29,123,81,72,25,109,90,57,74,83,58,75,75,69,69,73,50,82,88,85,68,52,72,63,77,80,91,104,68,69,64,47,78,65,69,93,73,70,43,74,50,129,54,51,101,78,73,73,84,68,82,63,25,85,63,96,81,80,56,71,71,97,73,77,117,99,84,70,97,65,44,37,26,59,69,69
classroom,71,86,47,73,58,64,70,70,67,53,48,45,73,59,69,60,61,54,55,67,77,58,74,90,24,96,72,64,34,66,61,59,47,55,54,57,82,70,63,72,45,66,76,56,67,49,75,57,50,76,59,85,63,50,46,56,61,54,52,87,71,53,43,54,48,94,64,39,70,56,57,50,70,44,57,55,35,60,61,71,64,59,54,64,60,68,57,76,89,93,73,72,62,50,45,37,35,47,47,61
dining,15,17,17,19,20,21,12,13,11,15,22,8,9,21,15,21,18,18,14,11,24,18,17,17,7,25,17,13,4,18,16,17,10,14,18,15,14,16,14,18,3,11,12,16,21,13,12,15,7,25,13,19,9,11,8,15,24,17,12,9,12,19,7,20,9,23,5,12,17,16,15,8,17,11,22,19,6,20,13,18,13,23,11,14,15,14,17,13,16,13,27,15,27,9,9,9,5,12,9,13
library,12,11,7,11,7,11,4,11,15,7,10,10,15,9,12,8,7,13,6,7,9,9,11,8,4,15,11,13,5,11,8,10,16,14,10,11,14,4,7,8,6,13,15,9,9,14,9,8,8,16,11,13,9,10,10,9,9,3,17,8,10,7,6,7,5,12,5,5,6,14,14,9,5,9,10,3,5,6,4,15,6,13,15,11,9,9,10,10,16,17,6,10,15,5,5,6,6,6,5,11
gym,33,45,32,34,36,30,22,41,21,29,25,16,32,17,31,29,21,30,16,20,41,31,26,25,2,41,23,23,8,38,25,20,13,38,20,14,28,23,18,27,15,27,27,27,25,7,26,18,24,34,27,32,12,15,21,11,24,18,20,21,15,14,9,26,4,49,14,11,26,29,26,26,35,21,28,29,15,23,13,36,26,39,18,17,26,46,33,17,46,35,23,44,37,20,27,17,13,21,16,22
social,102,126,92,111,111,134,95,116,101,122,95,89,134,110,108,119,102,112,76,103,123,90,136,119,42,166,111,93,31,134,120,84,85,105,81,102,106,88,127,100,65,67,123,104,85,64,104,122,105,123,123,170,91,109,101,88,100,90,111,120,112,86,53,104,84,146,88,73,131,95,113,119,130,82,110,102,36,137,80,120,98,118,93,117,116,115,120,109,132,139,111,121,131,81,56,40,36,91,87,97
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
offCampus,7,3,3,7,2,2,3,4,8,2,6,1,4,2,7,6,5,5,3,2,4,3,4,4,4,2,5,5,1,4,5,6,4,5,2,0,4,2,4,4,3,1,2,6,5,5,4,6,6,4,5,2,3,2,6,2,4,3,4,5,3,4,5,5,2,2,3,8,3,4,2,5,5,3,6,1,2,4,5,4,5,8,2,5,7,3,7,2,10,3,4,4,6,5,6,4,3,5,2,8
office,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,4,8,0,2,1,1,0,1,1,0,0,0,12,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,12,0,0,3,2,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
largeGathering,13,30,6,11,24,7,18,24,26,10,8,16,26,22,9,22,11,15,12,4,28,13,26,23,5,31,10,18,0,16,16,9,5,17,10,14,11,17,25,13,24,24,9,17,16,2,15,10,7,15,20,21,20,23,13,7,18,17,9,25,3,12,4,5,8,22,8,4,32,23,7,21,12,5,17,10,0,34,22,22,20,16,8,22,20,25,18,18,34,10,6,22,18,17,8,13,4,19,8,20
