,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,27.0,24.0,11.0,20.0,4.0,13.0,12.0,32.0,9.0,7.0,11.0,13.0,23.0,40.0,10.0,8.0,16.0,10.0,16.0,15.0,33.0,17.0,36.0,11.0,18.0,6.0,14.0,8.0,21.0,15.0,30.0,26.0,11.0,19.0,31.0,18.0,14.0,23.0,22.0,6.0,42.0,13.0,20.0,20.0,32.0,3.0,27.0,21.0,6.0,13.0,15.0,30.0,4.0,14.0,9.0,15.0,19.0,4.0,9.0,17.0,8.0,13.0,1.0,5.0,8.0,15.0,15.0,13.0,22.0,9.0,10.0,10.0,8.0,13.0,27.0,9.0,2.0,19.0,22.0,39.0,6.0,9.0,9.0,36.0,10.0,25.0,11.0,24.0,13.0,19.0,13.0,8.0,24.0,15.0,40.0,24.0,14.0,25.0,16.0,5.0
dorm,145.0,133.0,134.0,138.0,162.0,175.0,139.0,154.0,125.0,156.0,178.0,171.0,184.0,175.0,146.0,137.0,177.0,174.0,119.0,143.0,165.0,112.0,158.0,154.0,152.0,124.0,141.0,157.0,163.0,131.0,121.0,206.0,74.0,157.0,193.0,184.0,114.0,201.0,129.0,82.0,156.0,183.0,131.0,171.0,167.0,124.0,188.0,150.0,113.0,155.0,137.0,180.0,149.0,141.0,145.0,126.0,189.0,152.0,147.0,138.0,134.0,165.0,97.0,96.0,121.0,154.0,133.0,178.0,207.0,145.0,105.0,174.0,176.0,119.0,127.0,149.0,57.0,182.0,158.0,192.0,156.0,153.0,132.0,170.0,132.0,176.0,155.0,161.0,155.0,136.0,153.0,148.0,170.0,135.0,183.0,145.0,148.0,174.0,154.0,41.0
classroom,70.0,50.0,52.0,77.0,66.0,64.0,68.0,63.0,65.0,78.0,84.0,72.0,66.0,56.0,59.0,65.0,77.0,71.0,46.0,67.0,61.0,55.0,72.0,61.0,63.0,55.0,44.0,69.0,75.0,55.0,39.0,72.0,30.0,67.0,81.0,67.0,52.0,75.0,40.0,30.0,68.0,73.0,55.0,66.0,57.0,64.0,61.0,61.0,48.0,58.0,71.0,57.0,52.0,74.0,74.0,53.0,74.0,77.0,67.0,55.0,51.0,64.0,47.0,61.0,58.0,78.0,56.0,71.0,55.0,58.0,56.0,71.0,54.0,43.0,69.0,72.0,29.0,72.0,72.0,59.0,78.0,67.0,55.0,62.0,41.0,71.0,73.0,81.0,62.0,48.0,67.0,63.0,70.0,60.0,84.0,57.0,76.0,66.0,81.0,12.0
dining,14.0,14.0,14.0,11.0,16.0,26.0,15.0,15.0,12.0,16.0,21.0,20.0,23.0,17.0,18.0,15.0,13.0,20.0,19.0,7.0,16.0,5.0,13.0,11.0,21.0,6.0,16.0,15.0,11.0,13.0,12.0,14.0,3.0,21.0,13.0,10.0,17.0,19.0,12.0,8.0,15.0,12.0,17.0,16.0,22.0,13.0,24.0,13.0,8.0,24.0,9.0,20.0,16.0,19.0,7.0,11.0,13.0,18.0,17.0,14.0,15.0,16.0,10.0,10.0,6.0,15.0,17.0,20.0,17.0,12.0,13.0,12.0,19.0,7.0,10.0,14.0,7.0,24.0,11.0,18.0,19.0,16.0,12.0,16.0,22.0,14.0,17.0,18.0,15.0,24.0,15.0,13.0,12.0,17.0,18.0,9.0,10.0,17.0,12.0,4.0
library,9.0,10.0,9.0,3.0,15.0,8.0,12.0,11.0,9.0,10.0,14.0,14.0,14.0,9.0,13.0,5.0,6.0,10.0,9.0,7.0,13.0,1.0,18.0,9.0,5.0,5.0,10.0,10.0,8.0,9.0,6.0,16.0,6.0,8.0,14.0,11.0,8.0,13.0,12.0,7.0,10.0,4.0,7.0,13.0,18.0,7.0,14.0,11.0,4.0,8.0,13.0,13.0,10.0,7.0,7.0,8.0,16.0,10.0,6.0,6.0,12.0,10.0,17.0,12.0,6.0,8.0,8.0,9.0,14.0,12.0,5.0,11.0,13.0,9.0,3.0,7.0,3.0,8.0,9.0,12.0,10.0,13.0,18.0,15.0,12.0,17.0,7.0,6.0,14.0,6.0,9.0,10.0,15.0,13.0,17.0,12.0,6.0,13.0,12.0,3.0
gym,24.0,16.0,33.0,34.0,31.0,43.0,18.0,28.0,19.0,31.0,42.0,48.0,40.0,45.0,34.0,17.0,46.0,31.0,23.0,32.0,24.0,19.0,26.0,26.0,32.0,14.0,44.0,34.0,35.0,19.0,18.0,54.0,10.0,25.0,26.0,31.0,18.0,33.0,38.0,19.0,29.0,37.0,18.0,35.0,27.0,21.0,42.0,33.0,21.0,26.0,18.0,31.0,29.0,13.0,28.0,19.0,42.0,27.0,26.0,23.0,23.0,27.0,21.0,23.0,23.0,24.0,28.0,36.0,58.0,28.0,15.0,39.0,31.0,21.0,24.0,25.0,14.0,42.0,41.0,36.0,31.0,32.0,28.0,32.0,26.0,31.0,28.0,16.0,27.0,20.0,20.0,42.0,35.0,25.0,48.0,26.0,18.0,42.0,37.0,4.0
social,119.0,103.0,115.0,115.0,118.0,132.0,95.0,115.0,91.0,136.0,144.0,139.0,107.0,126.0,108.0,102.0,145.0,151.0,73.0,110.0,131.0,106.0,110.0,114.0,119.0,96.0,113.0,111.0,129.0,106.0,95.0,162.0,48.0,133.0,145.0,130.0,73.0,144.0,105.0,58.0,116.0,127.0,108.0,129.0,129.0,74.0,154.0,105.0,100.0,119.0,100.0,128.0,113.0,89.0,121.0,99.0,157.0,96.0,122.0,99.0,99.0,128.0,89.0,74.0,95.0,139.0,101.0,140.0,163.0,110.0,78.0,114.0,150.0,89.0,97.0,95.0,48.0,141.0,103.0,170.0,107.0,137.0,85.0,117.0,102.0,132.0,120.0,121.0,102.0,110.0,109.0,105.0,125.0,108.0,112.0,117.0,123.0,126.0,122.0,34.0
transit,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,10.0,3.0,10.0,8.0,4.0,10.0,5.0,9.0,5.0,7.0,3.0,10.0,4.0,16.0,13.0,7.0,5.0,6.0,5.0,11.0,7.0,4.0,10.0,10.0,4.0,10.0,6.0,3.0,7.0,7.0,6.0,6.0,6.0,8.0,5.0,7.0,7.0,4.0,8.0,6.0,8.0,9.0,8.0,7.0,7.0,4.0,9.0,5.0,4.0,3.0,6.0,7.0,5.0,8.0,8.0,10.0,11.0,8.0,12.0,8.0,10.0,7.0,6.0,9.0,5.0,6.0,5.0,8.0,9.0,8.0,8.0,11.0,15.0,5.0,8.0,7.0,9.0,7.0,7.0,5.0,9.0,6.0,8.0,8.0,5.0,3.0,7.0,7.0,4.0,6.0,6.0,10.0,7.0,8.0,11.0,15.0,8.0,6.0,5.0,7.0
office,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0
