,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,145,133,134,138,162,175,139,154,125,156,178,171,184,175,146,137,177,174,119,143,165,112,158,154,152,124,141,157,163,131,121,206,74,157,193,184,114,201,129,82,156,183,131,171,167,124,188,150,113,155,137,180,149,141,145,126,189,152,147,138,134,165,97,96,121,154,133,178,207,145,105,174,176,119,127,149,57,182,158,192,156,153,132,170,132,176,155,161,155,136,153,148,170,135,183,145,148,174,154,41
classroom,70,50,52,77,66,64,68,63,65,78,84,72,66,56,59,65,77,71,46,67,61,55,72,61,63,55,44,69,75,55,39,72,30,67,81,67,52,75,40,30,68,73,55,66,57,64,61,61,48,58,71,57,52,74,74,53,74,77,67,55,51,64,47,61,58,78,56,71,55,58,56,71,54,43,69,72,29,72,72,59,78,67,55,62,41,71,73,81,62,48,67,63,70,60,84,57,76,66,81,12
dining,14,14,14,11,16,26,15,15,12,16,21,20,23,17,18,15,13,20,19,7,16,5,13,11,21,6,16,15,11,13,12,14,3,21,13,10,17,19,12,8,15,12,17,16,22,13,24,13,8,24,9,20,16,19,7,11,13,18,17,14,15,16,10,10,6,15,17,20,17,12,13,12,19,7,10,14,7,24,11,18,19,16,12,16,22,14,17,18,15,24,15,13,12,17,18,9,10,17,12,4
library,9,10,9,3,15,8,12,11,9,10,14,14,14,9,13,5,6,10,9,7,13,1,18,9,5,5,10,10,8,9,6,16,6,8,14,11,8,13,12,7,10,4,7,13,18,7,14,11,4,8,13,13,10,7,7,8,16,10,6,6,12,10,17,12,6,8,8,9,14,12,5,11,13,9,3,7,3,8,9,12,10,13,18,15,12,17,7,6,14,6,9,10,15,13,17,12,6,13,12,3
gym,24,16,33,34,31,43,18,28,19,31,42,48,40,45,34,17,46,31,23,32,24,19,26,26,32,14,44,34,35,19,18,54,10,25,26,31,18,33,38,19,29,37,18,35,27,21,42,33,21,26,18,31,29,13,28,19,42,27,26,23,23,27,21,23,23,24,28,36,58,28,15,39,31,21,24,25,14,42,41,36,31,32,28,32,26,31,28,16,27,20,20,42,35,25,48,26,18,42,37,4
social,119,103,115,115,118,132,95,115,91,136,144,139,107,126,108,102,145,151,73,110,131,106,110,114,119,96,113,111,129,106,95,162,48,133,145,130,73,144,105,58,116,127,108,129,129,74,154,105,100,119,100,128,113,89,121,99,157,96,122,99,99,128,89,74,95,139,101,140,163,110,78,114,150,89,97,95,48,141,103,170,107,137,85,117,102,132,120,121,102,110,109,105,125,108,112,117,123,126,122,34
transit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,10,3,10,8,4,10,5,9,5,7,3,10,4,16,13,7,5,6,5,11,7,4,10,10,4,10,6,3,7,7,6,6,6,8,5,7,7,4,8,6,8,9,8,7,7,4,9,5,4,3,6,7,5,8,8,10,11,8,12,8,10,7,6,9,5,6,5,8,9,8,8,11,15,5,8,7,9,7,7,5,9,6,8,8,5,3,7,7,4,6,6,10,7,8,11,15,8,6,5,7
office,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,3,0,0,0,0,0,11,0,0,0,0,1,0,0,0,3,2,1,0,0,1,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,1,0,6,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2,0,0,1,1,3,1,1,4,1,0,0,2,0,2,0,2,0,0,4,2,0,0,4,1,0,0
largeGathering,27,24,11,20,4,13,12,32,9,7,11,13,23,40,10,8,16,10,16,15,33,17,36,11,18,6,14,8,21,15,30,26,11,19,31,18,14,23,22,6,42,13,20,20,32,3,27,21,6,13,15,30,4,14,9,15,19,4,9,17,8,13,1,5,8,15,15,13,22,9,10,10,8,13,27,9,2,19,22,39,6,9,9,36,10,25,11,24,13,19,13,8,24,15,40,24,14,25,16,5
