,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,89.0,69.0,73.0,79.0,83.0,66.0,73.0,62.0,62.0,62.0,70.0,68.0,72.0,86.0,78.0,76.0,53.0,52.0,62.0,49.0,72.0,56.0,93.0,76.0,64.0,74.0,66.0,84.0,93.0,83.0,61.0,64.0,77.0,82.0,82.0,80.0,64.0,80.0,71.0,72.0,84.0,73.0,61.0,62.0,62.0,56.0,78.0,56.0,75.0,97.0,81.0,56.0,64.0,53.0,74.0,70.0,80.0,72.0,84.0,85.0,81.0,71.0,83.0,50.0,66.0,84.0,72.0,78.0,86.0,51.0,71.0,49.0,53.0,77.0,84.0,73.0,72.0,86.0,58.0,82.0,84.0,83.0,84.0,75.0,68.0,86.0,90.0,112.0,51.0,68.0,95.0,64.0,59.0,85.0,60.0,73.0,70.0,75.0,75.0,60.0
dorm,319.0,331.0,330.0,310.0,320.0,320.0,321.0,337.0,317.0,331.0,318.0,339.0,327.0,328.0,327.0,320.0,337.0,344.0,314.0,332.0,328.0,318.0,318.0,313.0,322.0,329.0,318.0,324.0,319.0,337.0,334.0,325.0,346.0,333.0,313.0,311.0,330.0,323.0,330.0,339.0,315.0,335.0,324.0,332.0,338.0,326.0,327.0,322.0,321.0,325.0,326.0,327.0,328.0,324.0,331.0,325.0,328.0,324.0,323.0,313.0,331.0,339.0,320.0,323.0,321.0,311.0,323.0,317.0,351.0,338.0,341.0,331.0,331.0,310.0,332.0,311.0,328.0,320.0,349.0,323.0,332.0,343.0,329.0,328.0,328.0,325.0,330.0,342.0,344.0,334.0,328.0,326.0,331.0,332.0,337.0,307.0,324.0,329.0,308.0,355.0
classroom,591.0,603.0,636.0,632.0,637.0,609.0,611.0,634.0,654.0,581.0,634.0,680.0,635.0,625.0,593.0,582.0,650.0,643.0,637.0,603.0,627.0,674.0,649.0,578.0,628.0,617.0,634.0,623.0,643.0,649.0,594.0,620.0,605.0,626.0,593.0,614.0,650.0,656.0,625.0,633.0,637.0,656.0,591.0,604.0,648.0,636.0,621.0,634.0,611.0,602.0,632.0,648.0,638.0,664.0,624.0,627.0,641.0,619.0,620.0,629.0,631.0,643.0,657.0,655.0,651.0,620.0,634.0,639.0,618.0,676.0,651.0,622.0,618.0,579.0,637.0,648.0,617.0,603.0,603.0,591.0,616.0,624.0,632.0,614.0,596.0,625.0,583.0,616.0,614.0,597.0,626.0,681.0,605.0,626.0,673.0,583.0,646.0,610.0,622.0,608.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,1316.0,1316.0,1294.0,1287.0,1277.0,1299.0,1325.0,1293.0,1289.0,1343.0,1293.0,1250.0,1288.0,1282.0,1327.0,1348.0,1286.0,1252.0,1298.0,1326.0,1302.0,1264.0,1277.0,1357.0,1307.0,1305.0,1299.0,1287.0,1270.0,1239.0,1334.0,1301.0,1283.0,1276.0,1331.0,1311.0,1271.0,1271.0,1291.0,1265.0,1284.0,1267.0,1348.0,1315.0,1273.0,1301.0,1267.0,1297.0,1296.0,1286.0,1283.0,1284.0,1285.0,1279.0,1280.0,1266.0,1246.0,1313.0,1278.0,1291.0,1271.0,1272.0,1273.0,1280.0,1278.0,1299.0,1283.0,1288.0,1281.0,1258.0,1244.0,1301.0,1323.0,1352.0,1277.0,1297.0,1317.0,1324.0,1327.0,1306.0,1294.0,1276.0,1274.0,1286.0,1315.0,1297.0,1300.0,1271.0,1292.0,1313.0,1281.0,1239.0,1334.0,1274.0,1237.0,1352.0,1292.0,1298.0,1324.0,1289.0
transit,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
offCampus,2.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,4.0,2.0,0.0,0.0,5.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,5.0,0.0,4.0,1.0
office,53.0,46.0,35.0,60.0,50.0,75.0,37.0,42.0,47.0,52.0,53.0,30.0,42.0,45.0,42.0,44.0,43.0,70.0,54.0,57.0,36.0,55.0,30.0,44.0,49.0,43.0,52.0,51.0,44.0,61.0,43.0,57.0,57.0,51.0,49.0,52.0,54.0,37.0,51.0,58.0,47.0,37.0,42.0,53.0,46.0,49.0,73.0,59.0,60.0,59.0,45.0,53.0,53.0,48.0,59.0,79.0,69.0,41.0,62.0,49.0,53.0,43.0,35.0,59.0,52.0,52.0,57.0,47.0,32.0,43.0,62.0,66.0,42.0,49.0,35.0,37.0,30.0,35.0,29.0,68.0,42.0,43.0,47.0,63.0,63.0,35.0,66.0,28.0,65.0,55.0,38.0,53.0,36.0,50.0,61.0,52.0,32.0,55.0,36.0,57.0
total,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0,2380.0
max,2048.0,1974.0,1995.0,1964.0,1982.0,2078.0,1954.0,1949.0,1949.0,1945.0,1911.0,2007.0,1935.0,2052.0,1996.0,2086.0,1951.0,2028.0,1942.0,2071.0,1985.0,1942.0,2008.0,2029.0,1980.0,1986.0,1926.0,2097.0,1982.0,2040.0,1988.0,1941.0,1970.0,1932.0,2124.0,1946.0,1970.0,1966.0,2043.0,1959.0,2029.0,2020.0,1983.0,2013.0,2065.0,1987.0,2021.0,1968.0,2098.0,2114.0,1968.0,2114.0,2136.0,1964.0,2082.0,2091.0,1991.0,1948.0,2108.0,1958.0,2117.0,2105.0,1948.0,1982.0,1950.0,2077.0,2104.0,1947.0,1983.0,1941.0,2047.0,2084.0,1988.0,1935.0,1991.0,1914.0,1978.0,1991.0,1959.0,2088.0,1987.0,1998.0,1974.0,2013.0,2008.0,1994.0,2063.0,1981.0,1970.0,2077.0,1994.0,1998.0,1953.0,2002.0,2052.0,2087.0,2006.0,1988.0,1996.0,2064.0
