,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,319,331,330,310,320,320,321,337,317,331,318,339,327,328,327,320,337,344,314,332,328,318,318,313,322,329,318,324,319,337,334,325,346,333,313,311,330,323,330,339,315,335,324,332,338,326,327,322,321,325,326,327,328,324,331,325,328,324,323,313,331,339,320,323,321,311,323,317,351,338,341,331,331,310,332,311,328,320,349,323,332,343,329,328,328,325,330,342,344,334,328,326,331,332,337,307,324,329,308,355
classroom,591,603,636,632,637,609,611,634,654,581,634,680,635,625,593,582,650,643,637,603,627,674,649,578,628,617,634,623,643,649,594,620,605,626,593,614,650,656,625,633,637,656,591,604,648,636,621,634,611,602,632,648,638,664,624,627,641,619,620,629,631,643,657,655,651,620,634,639,618,676,651,622,618,579,637,648,617,603,603,591,616,624,632,614,596,625,583,616,614,597,626,681,605,626,673,583,646,610,622,608
dining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,1316,1316,1294,1287,1277,1299,1325,1293,1289,1343,1293,1250,1288,1282,1327,1348,1286,1252,1298,1326,1302,1264,1277,1357,1307,1305,1299,1287,1270,1239,1334,1301,1283,1276,1331,1311,1271,1271,1291,1265,1284,1267,1348,1315,1273,1301,1267,1297,1296,1286,1283,1284,1285,1279,1280,1266,1246,1313,1278,1291,1271,1272,1273,1280,1278,1299,1283,1288,1281,1258,1244,1301,1323,1352,1277,1297,1317,1324,1327,1306,1294,1276,1274,1286,1315,1297,1300,1271,1292,1313,1281,1239,1334,1274,1237,1352,1292,1298,1324,1289
transit,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,4,3,0,3,3,1,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,0,1,1,0,1,0,0,2,0,1,0,0,2,2,0,0,0,1,1,1,3,1,0,1,2,1,2,2,0,2,0,0,0,1,3,0,1,0,0,1,1,1,2,1,0,1,0,1,3,1,0
offCampus,2,4,2,1,3,0,2,2,1,1,1,3,5,4,2,0,0,5,2,3,2,0,2,2,0,1,1,1,1,0,3,1,1,2,2,2,1,3,2,2,3,2,3,4,2,2,3,2,5,1,2,1,2,1,2,3,4,1,2,3,3,0,0,3,2,4,0,0,1,1,0,1,2,1,4,2,4,2,2,0,2,1,3,1,0,1,1,1,3,2,1,5,4,3,1,3,5,0,4,1
office,53,46,35,60,50,75,37,42,47,52,53,30,42,45,42,44,43,70,54,57,36,55,30,44,49,43,52,51,44,61,43,57,57,51,49,52,54,37,51,58,47,37,42,53,46,49,73,59,60,59,45,53,53,48,59,79,69,41,62,49,53,43,35,59,52,52,57,47,32,43,62,66,42,49,35,37,30,35,29,68,42,43,47,63,63,35,66,28,65,55,38,53,36,50,61,52,32,55,36,57
largeGathering,89,69,73,79,83,66,73,62,62,62,70,68,72,86,78,76,53,52,62,49,72,56,93,76,64,74,66,84,93,83,61,64,77,82,82,80,64,80,71,72,84,73,61,62,62,56,78,56,75,97,81,56,64,53,74,70,80,72,84,85,81,71,83,50,66,84,72,78,86,51,71,49,53,77,84,73,72,86,58,82,84,83,84,75,68,86,90,112,51,68,95,64,59,85,60,73,70,75,75,60
