,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,25.0,12.0,28.0,15.0,37.0,24.0,67.0,38.0,34.0,18.0,40.0,39.0,57.0,21.0,40.0,39.0,33.0,27.0,14.0,29.0,26.0,45.0,38.0,31.0,45.0,15.0,44.0,20.0,44.0,35.0,37.0,18.0,34.0,35.0,25.0,25.0,36.0,36.0,35.0,8.0,25.0,42.0,20.0,28.0,39.0,23.0,38.0,36.0,46.0,19.0,28.0,43.0,25.0,43.0,31.0,43.0,25.0,47.0,33.0,31.0,23.0,30.0,28.0,32.0,41.0,34.0,45.0,14.0,27.0,29.0,26.0,38.0,42.0,29.0,17.0,23.0,40.0,35.0,23.0,19.0,23.0,33.0,27.0,40.0,23.0,22.0,29.0,29.0,11.0,29.0,34.0,36.0,19.0,45.0,43.0,25.0,20.0,13.0,42.0,21.0
dorm,87.0,110.0,119.0,116.0,137.0,128.0,129.0,112.0,132.0,116.0,131.0,127.0,148.0,122.0,119.0,122.0,146.0,109.0,114.0,122.0,101.0,106.0,137.0,113.0,134.0,106.0,133.0,132.0,167.0,129.0,134.0,98.0,155.0,124.0,124.0,106.0,125.0,134.0,127.0,81.0,107.0,134.0,106.0,133.0,133.0,109.0,113.0,114.0,135.0,99.0,128.0,139.0,139.0,141.0,124.0,124.0,110.0,136.0,146.0,114.0,131.0,146.0,128.0,146.0,164.0,128.0,136.0,94.0,125.0,124.0,108.0,156.0,160.0,126.0,100.0,104.0,139.0,152.0,145.0,117.0,141.0,150.0,139.0,169.0,126.0,114.0,130.0,139.0,86.0,135.0,101.0,145.0,108.0,120.0,148.0,95.0,133.0,100.0,151.0,120.0
classroom,26.0,37.0,51.0,34.0,40.0,51.0,43.0,36.0,53.0,35.0,61.0,40.0,40.0,45.0,35.0,48.0,48.0,32.0,35.0,39.0,37.0,53.0,46.0,35.0,53.0,27.0,34.0,40.0,57.0,45.0,38.0,34.0,44.0,52.0,55.0,27.0,40.0,35.0,38.0,35.0,40.0,44.0,35.0,38.0,56.0,30.0,34.0,49.0,40.0,41.0,49.0,51.0,49.0,41.0,50.0,31.0,30.0,36.0,50.0,53.0,55.0,51.0,40.0,53.0,49.0,47.0,32.0,30.0,31.0,46.0,28.0,51.0,42.0,45.0,29.0,43.0,67.0,43.0,55.0,38.0,41.0,64.0,46.0,48.0,37.0,40.0,48.0,55.0,30.0,44.0,49.0,37.0,45.0,37.0,40.0,34.0,34.0,40.0,35.0,41.0
dining,15.0,44.0,41.0,38.0,54.0,52.0,60.0,44.0,47.0,39.0,50.0,46.0,57.0,46.0,50.0,35.0,46.0,33.0,48.0,48.0,49.0,40.0,51.0,29.0,49.0,35.0,47.0,34.0,48.0,50.0,43.0,35.0,58.0,56.0,32.0,41.0,38.0,33.0,43.0,25.0,34.0,63.0,26.0,43.0,53.0,53.0,50.0,35.0,44.0,26.0,45.0,35.0,59.0,50.0,28.0,58.0,53.0,51.0,48.0,43.0,37.0,58.0,55.0,63.0,50.0,47.0,57.0,38.0,46.0,45.0,45.0,57.0,66.0,43.0,43.0,38.0,44.0,67.0,70.0,38.0,53.0,46.0,49.0,57.0,38.0,33.0,35.0,44.0,28.0,40.0,43.0,66.0,28.0,44.0,48.0,41.0,48.0,42.0,44.0,45.0
library,3.0,2.0,1.0,5.0,7.0,1.0,5.0,0.0,5.0,1.0,2.0,4.0,8.0,1.0,6.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,2.0,1.0,5.0,3.0,1.0,3.0,7.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,6.0,1.0,4.0,9.0,7.0,3.0,4.0,5.0,4.0,4.0,1.0,5.0,7.0,6.0,2.0,4.0,2.0,5.0,3.0,3.0,5.0,7.0,7.0,5.0,2.0,2.0,1.0,3.0,3.0,1.0,5.0,4.0,6.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0,2.0,1.0,5.0,7.0,2.0,3.0,7.0,6.0,0.0,5.0,1.0,3.0,4.0
gym,22.0,25.0,16.0,25.0,20.0,25.0,20.0,28.0,23.0,18.0,32.0,15.0,12.0,32.0,28.0,24.0,33.0,22.0,23.0,25.0,23.0,33.0,24.0,23.0,35.0,32.0,31.0,29.0,30.0,39.0,29.0,13.0,42.0,26.0,21.0,14.0,32.0,22.0,22.0,17.0,21.0,25.0,22.0,22.0,24.0,21.0,22.0,24.0,33.0,13.0,22.0,15.0,24.0,25.0,16.0,31.0,15.0,27.0,20.0,26.0,30.0,20.0,26.0,28.0,28.0,23.0,18.0,14.0,23.0,33.0,30.0,29.0,39.0,19.0,11.0,16.0,31.0,24.0,27.0,15.0,28.0,36.0,16.0,30.0,17.0,48.0,23.0,29.0,8.0,32.0,16.0,21.0,18.0,24.0,28.0,24.0,32.0,38.0,28.0,29.0
social,44.0,60.0,61.0,55.0,72.0,61.0,46.0,54.0,47.0,59.0,59.0,75.0,68.0,64.0,46.0,77.0,67.0,53.0,65.0,53.0,53.0,55.0,47.0,62.0,56.0,52.0,79.0,53.0,62.0,51.0,74.0,63.0,68.0,56.0,66.0,64.0,74.0,67.0,64.0,58.0,65.0,67.0,69.0,72.0,54.0,68.0,59.0,59.0,65.0,53.0,66.0,82.0,72.0,54.0,61.0,59.0,61.0,59.0,70.0,67.0,74.0,65.0,69.0,66.0,80.0,49.0,70.0,53.0,62.0,58.0,55.0,94.0,60.0,56.0,57.0,62.0,57.0,63.0,50.0,57.0,71.0,63.0,60.0,64.0,64.0,36.0,49.0,71.0,64.0,79.0,65.0,70.0,66.0,57.0,79.0,60.0,68.0,56.0,66.0,41.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,3.0,10.0,5.0,15.0,8.0,9.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,6.0,5.0,6.0,7.0,4.0,12.0,7.0,12.0,11.0,6.0,4.0,8.0,13.0,4.0,12.0,4.0,4.0,5.0,9.0,6.0,6.0,5.0,5.0,8.0,10.0,8.0,11.0,7.0,5.0,6.0,6.0,4.0,10.0,3.0,6.0,5.0,10.0,7.0,7.0,5.0,10.0,5.0,6.0,4.0,7.0,8.0,5.0,3.0,3.0,13.0,13.0,14.0,10.0,7.0,7.0,6.0,7.0,9.0,9.0,8.0,4.0,5.0,3.0,12.0,7.0,6.0,10.0,9.0,12.0,5.0,5.0,8.0,10.0,5.0,9.0,9.0,9.0,6.0,11.0,6.0,2.0,11.0,9.0,7.0,2.0,9.0,7.0
office,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
