,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,87,110,119,116,137,128,129,112,132,116,131,127,148,122,119,122,146,109,114,122,101,106,137,113,134,106,133,132,167,129,134,98,155,124,124,106,125,134,127,81,107,134,106,133,133,109,113,114,135,99,128,139,139,141,124,124,110,136,146,114,131,146,128,146,164,128,136,94,125,124,108,156,160,126,100,104,139,152,145,117,141,150,139,169,126,114,130,139,86,135,101,145,108,120,148,95,133,100,151,120
classroom,26,37,51,34,40,51,43,36,53,35,61,40,40,45,35,48,48,32,35,39,37,53,46,35,53,27,34,40,57,45,38,34,44,52,55,27,40,35,38,35,40,44,35,38,56,30,34,49,40,41,49,51,49,41,50,31,30,36,50,53,55,51,40,53,49,47,32,30,31,46,28,51,42,45,29,43,67,43,55,38,41,64,46,48,37,40,48,55,30,44,49,37,45,37,40,34,34,40,35,41
dining,15,44,41,38,54,52,60,44,47,39,50,46,57,46,50,35,46,33,48,48,49,40,51,29,49,35,47,34,48,50,43,35,58,56,32,41,38,33,43,25,34,63,26,43,53,53,50,35,44,26,45,35,59,50,28,58,53,51,48,43,37,58,55,63,50,47,57,38,46,45,45,57,66,43,43,38,44,67,70,38,53,46,49,57,38,33,35,44,28,40,43,66,28,44,48,41,48,42,44,45
library,3,2,1,5,7,1,5,0,5,1,2,4,8,1,6,2,5,3,5,5,3,3,1,4,4,2,4,2,1,5,3,1,3,7,1,3,1,3,3,4,5,6,1,4,9,7,3,4,5,4,4,1,5,7,6,2,4,2,5,3,3,5,7,7,5,2,2,1,3,3,1,5,4,6,5,4,1,1,5,5,5,5,5,4,7,5,5,2,1,5,7,2,3,7,6,0,5,1,3,4
gym,22,25,16,25,20,25,20,28,23,18,32,15,12,32,28,24,33,22,23,25,23,33,24,23,35,32,31,29,30,39,29,13,42,26,21,14,32,22,22,17,21,25,22,22,24,21,22,24,33,13,22,15,24,25,16,31,15,27,20,26,30,20,26,28,28,23,18,14,23,33,30,29,39,19,11,16,31,24,27,15,28,36,16,30,17,48,23,29,8,32,16,21,18,24,28,24,32,38,28,29
social,44,60,61,55,72,61,46,54,47,59,59,75,68,64,46,77,67,53,65,53,53,55,47,62,56,52,79,53,62,51,74,63,68,56,66,64,74,67,64,58,65,67,69,72,54,68,59,59,65,53,66,82,72,54,61,59,61,59,70,67,74,65,69,66,80,49,70,53,62,58,55,94,60,56,57,62,57,63,50,57,71,63,60,64,64,36,49,71,64,79,65,70,66,57,79,60,68,56,66,41
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,3,10,5,15,8,9,6,7,7,6,5,7,8,6,5,6,7,4,12,7,12,11,6,4,8,13,4,12,4,4,5,9,6,6,5,5,8,10,8,11,7,5,6,6,4,10,3,6,5,10,7,7,5,10,5,6,4,7,8,5,3,3,13,13,14,10,7,7,6,7,9,9,8,4,5,3,12,7,6,10,9,12,5,5,8,10,5,9,9,9,6,11,6,2,11,9,7,2,9,7
office,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
largeGathering,25,12,28,15,37,24,67,38,34,18,40,39,57,21,40,39,33,27,14,29,26,45,38,31,45,15,44,20,44,35,37,18,34,35,25,25,36,36,35,8,25,42,20,28,39,23,38,36,46,19,28,43,25,43,31,43,25,47,33,31,23,30,28,32,41,34,45,14,27,29,26,38,42,29,17,23,40,35,23,19,23,33,27,40,23,22,29,29,11,29,34,36,19,45,43,25,20,13,42,21
dorm_hub,7,9,18,11,17,9,16,12,16,12,12,6,12,10,8,15,17,13,14,11,10,6,13,8,13,11,11,19,21,14,11,10,18,7,8,5,5,13,14,9,8,13,13,20,17,3,10,8,16,10,14,14,13,16,11,10,12,15,20,12,13,17,10,17,24,15,12,7,16,12,12,11,12,8,8,7,18,18,11,12,17,11,20,25,14,15,18,17,11,14,7,20,11,4,17,5,12,8,21,19
classroom_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dining_hub,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
