,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,36.0,39.0,44.0,48.0,32.0,31.0,39.0,33.0,41.0,37.0,41.0,43.0,51.0,43.0,43.0,44.0,42.0,42.0,54.0,37.0,54.0,56.0,39.0,33.0,33.0,35.0,38.0,45.0,37.0,30.0,56.0,41.0,43.0,49.0,38.0,30.0,27.0,51.0,34.0,39.0,41.0,31.0,38.0,44.0,43.0,34.0,47.0,46.0,32.0,44.0,59.0,31.0,42.0,53.0,33.0,30.0,38.0,44.0,47.0,33.0,37.0,37.0,43.0,41.0,46.0,38.0,47.0,52.0,36.0,43.0,43.0,38.0,34.0,35.0,55.0,36.0,41.0,36.0,46.0,45.0,48.0,39.0,43.0,41.0,44.0,33.0,39.0,42.0,38.0,44.0,43.0,34.0,57.0,30.0,37.0,42.0,43.0,40.0,36.0,39.0
classroom,193.0,230.0,195.0,193.0,212.0,165.0,189.0,165.0,181.0,176.0,201.0,193.0,181.0,183.0,173.0,193.0,231.0,185.0,193.0,240.0,198.0,201.0,172.0,177.0,181.0,218.0,240.0,214.0,184.0,188.0,226.0,191.0,220.0,197.0,169.0,163.0,176.0,188.0,207.0,204.0,182.0,176.0,210.0,179.0,195.0,213.0,195.0,184.0,193.0,181.0,194.0,199.0,180.0,220.0,200.0,183.0,190.0,239.0,205.0,232.0,155.0,198.0,203.0,176.0,196.0,218.0,167.0,216.0,161.0,210.0,210.0,205.0,197.0,232.0,194.0,199.0,212.0,196.0,182.0,179.0,187.0,200.0,222.0,143.0,177.0,217.0,218.0,215.0,217.0,229.0,187.0,209.0,189.0,181.0,184.0,245.0,206.0,254.0,221.0,226.0
dining,80.0,63.0,98.0,78.0,96.0,79.0,81.0,87.0,92.0,83.0,65.0,73.0,89.0,86.0,86.0,81.0,73.0,85.0,87.0,93.0,82.0,63.0,92.0,93.0,60.0,86.0,81.0,79.0,90.0,75.0,80.0,86.0,83.0,68.0,98.0,76.0,56.0,72.0,64.0,102.0,95.0,93.0,85.0,94.0,77.0,80.0,79.0,93.0,94.0,78.0,80.0,89.0,82.0,109.0,91.0,87.0,96.0,103.0,80.0,98.0,85.0,68.0,87.0,84.0,103.0,65.0,82.0,83.0,94.0,109.0,72.0,76.0,78.0,96.0,86.0,95.0,64.0,100.0,106.0,84.0,69.0,81.0,92.0,75.0,76.0,111.0,101.0,91.0,88.0,73.0,81.0,92.0,75.0,73.0,76.0,85.0,84.0,108.0,88.0,76.0
library,38.0,34.0,32.0,25.0,47.0,35.0,42.0,29.0,23.0,25.0,30.0,34.0,36.0,47.0,17.0,39.0,35.0,33.0,48.0,28.0,46.0,35.0,27.0,28.0,38.0,27.0,39.0,41.0,47.0,33.0,35.0,25.0,35.0,30.0,38.0,47.0,21.0,20.0,39.0,26.0,39.0,29.0,24.0,28.0,41.0,29.0,26.0,29.0,32.0,27.0,33.0,22.0,37.0,34.0,41.0,42.0,34.0,38.0,40.0,34.0,36.0,32.0,41.0,25.0,34.0,40.0,35.0,34.0,27.0,33.0,39.0,33.0,32.0,43.0,30.0,37.0,31.0,30.0,34.0,26.0,31.0,40.0,39.0,29.0,26.0,37.0,36.0,47.0,32.0,38.0,29.0,26.0,33.0,29.0,34.0,30.0,37.0,36.0,34.0,43.0
gym,73.0,103.0,105.0,102.0,98.0,76.0,109.0,94.0,90.0,116.0,80.0,94.0,105.0,86.0,93.0,92.0,91.0,93.0,92.0,94.0,80.0,77.0,94.0,87.0,100.0,89.0,83.0,93.0,93.0,93.0,95.0,96.0,105.0,111.0,76.0,79.0,84.0,99.0,105.0,92.0,94.0,112.0,97.0,103.0,103.0,117.0,111.0,97.0,101.0,110.0,101.0,85.0,89.0,107.0,90.0,73.0,105.0,110.0,87.0,89.0,70.0,79.0,91.0,91.0,98.0,88.0,88.0,106.0,86.0,96.0,84.0,96.0,89.0,101.0,94.0,90.0,120.0,92.0,97.0,89.0,90.0,103.0,75.0,77.0,106.0,99.0,130.0,119.0,102.0,90.0,93.0,84.0,99.0,88.0,96.0,95.0,92.0,85.0,80.0,100.0
social,261.0,249.0,256.0,265.0,239.0,260.0,275.0,234.0,230.0,258.0,242.0,259.0,280.0,261.0,252.0,247.0,258.0,240.0,229.0,286.0,246.0,264.0,288.0,220.0,222.0,249.0,265.0,248.0,288.0,236.0,237.0,236.0,238.0,226.0,270.0,265.0,239.0,227.0,260.0,252.0,212.0,205.0,267.0,273.0,262.0,222.0,274.0,251.0,270.0,253.0,259.0,279.0,235.0,255.0,264.0,252.0,236.0,229.0,254.0,266.0,205.0,246.0,237.0,265.0,255.0,230.0,246.0,255.0,253.0,239.0,260.0,245.0,277.0,232.0,257.0,256.0,244.0,227.0,255.0,251.0,244.0,229.0,279.0,213.0,247.0,227.0,276.0,283.0,254.0,286.0,289.0,268.0,270.0,208.0,217.0,275.0,255.0,289.0,280.0,239.0
transit,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
office,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0
