,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,36,39,44,48,32,31,39,33,41,37,41,43,51,43,43,44,42,42,54,37,54,56,39,33,33,35,38,45,37,30,56,41,43,49,38,30,27,51,34,39,41,31,38,44,43,34,47,46,32,44,59,31,42,53,33,30,38,44,47,33,37,37,43,41,46,38,47,52,36,43,43,38,34,35,55,36,41,36,46,45,48,39,43,41,44,33,39,42,38,44,43,34,57,30,37,42,43,40,36,39
classroom,193,230,195,193,212,165,189,165,181,176,201,193,181,183,173,193,231,185,193,240,198,201,172,177,181,218,240,214,184,188,226,191,220,197,169,163,176,188,207,204,182,176,210,179,195,213,195,184,193,181,194,199,180,220,200,183,190,239,205,232,155,198,203,176,196,218,167,216,161,210,210,205,197,232,194,199,212,196,182,179,187,200,222,143,177,217,218,215,217,229,187,209,189,181,184,245,206,254,221,226
dining,80,63,98,78,96,79,81,87,92,83,65,73,89,86,86,81,73,85,87,93,82,63,92,93,60,86,81,79,90,75,80,86,83,68,98,76,56,72,64,102,95,93,85,94,77,80,79,93,94,78,80,89,82,109,91,87,96,103,80,98,85,68,87,84,103,65,82,83,94,109,72,76,78,96,86,95,64,100,106,84,69,81,92,75,76,111,101,91,88,73,81,92,75,73,76,85,84,108,88,76
library,38,34,32,25,47,35,42,29,23,25,30,34,36,47,17,39,35,33,48,28,46,35,27,28,38,27,39,41,47,33,35,25,35,30,38,47,21,20,39,26,39,29,24,28,41,29,26,29,32,27,33,22,37,34,41,42,34,38,40,34,36,32,41,25,34,40,35,34,27,33,39,33,32,43,30,37,31,30,34,26,31,40,39,29,26,37,36,47,32,38,29,26,33,29,34,30,37,36,34,43
gym,73,103,105,102,98,76,109,94,90,116,80,94,105,86,93,92,91,93,92,94,80,77,94,87,100,89,83,93,93,93,95,96,105,111,76,79,84,99,105,92,94,112,97,103,103,117,111,97,101,110,101,85,89,107,90,73,105,110,87,89,70,79,91,91,98,88,88,106,86,96,84,96,89,101,94,90,120,92,97,89,90,103,75,77,106,99,130,119,102,90,93,84,99,88,96,95,92,85,80,100
social,261,249,256,265,239,260,275,234,230,258,242,259,280,261,252,247,258,240,229,286,246,264,288,220,222,249,265,248,288,236,237,236,238,226,270,265,239,227,260,252,212,205,267,273,262,222,274,251,270,253,259,279,235,255,264,252,236,229,254,266,205,246,237,265,255,230,246,255,253,239,260,245,277,232,257,256,244,227,255,251,244,229,279,213,247,227,276,283,254,286,289,268,270,208,217,275,255,289,280,239
transit,4,2,0,1,0,1,0,0,2,0,2,0,1,1,1,0,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,2,2,0,1,0,0,1,0,0,1,2,2,0,1,0,0,0,1,1,1,3,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2,2,2,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
offCampus,0,0,0,0,0,1,2,1,0,0,0,3,0,2,0,1,1,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,1,1,1,0,1,1,2,1,1,1,1,0,2,0,1,0,1,2,1,2,2,0,1,0,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,1
office,1,0,0,1,2,0,0,0,0,0,0,1,1,2,0,1,1,0,0,1,0,2,1,0,1,3,0,3,1,1,1,0,1,1,1,0,1,0,2,5,1,0,0,0,0,1,2,0,0,0,0,1,1,2,4,0,0,2,2,2,1,1,0,2,1,0,2,1,0,1,1,0,1,2,0,0,1,1,1,0,2,2,1,1,1,1,0,1,2,0,0,0,3,0,1,1,1,0,3,1
largeGathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dorm_hub,36,39,44,48,32,31,39,33,41,37,41,43,51,43,43,44,42,42,54,37,54,56,39,33,33,35,38,45,37,30,56,41,43,49,38,30,27,51,34,39,41,31,38,44,43,34,47,46,32,44,59,31,42,53,33,30,38,44,47,33,37,37,43,41,46,38,47,52,36,43,43,38,34,35,55,36,41,36,46,45,48,39,43,41,44,33,39,42,38,44,43,34,57,30,37,42,43,40,36,39
