,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,235.0,181.0,214.0,219.0,180.0,200.0,198.0,197.0,191.0,179.0,202.0,160.0,209.0,182.0,191.0,173.0,190.0,171.0,163.0,179.0,218.0,219.0,190.0,200.0,190.0,142.0,196.0,190.0,211.0,176.0,191.0,139.0,195.0,182.0,227.0,195.0,160.0,161.0,176.0,157.0,202.0,193.0,200.0,199.0,224.0,208.0,195.0,194.0,230.0,221.0,204.0,211.0,216.0,160.0,199.0,187.0,154.0,149.0,167.0,211.0,194.0,238.0,143.0,181.0,189.0,196.0,195.0,171.0,181.0,182.0,239.0,173.0,226.0,146.0,159.0,192.0,222.0,192.0,197.0,188.0,175.0,197.0,215.0,176.0,163.0,175.0,187.0,188.0,141.0,167.0,193.0,207.0,174.0,202.0,202.0,200.0,190.0,226.0,152.0,212.0
dorm,480.0,441.0,490.0,505.0,442.0,456.0,441.0,483.0,423.0,456.0,444.0,425.0,482.0,463.0,460.0,441.0,497.0,454.0,451.0,469.0,467.0,497.0,469.0,476.0,460.0,457.0,433.0,492.0,465.0,443.0,494.0,478.0,466.0,444.0,495.0,479.0,478.0,450.0,470.0,449.0,469.0,489.0,483.0,475.0,477.0,473.0,465.0,453.0,505.0,467.0,479.0,475.0,447.0,457.0,449.0,439.0,423.0,467.0,450.0,466.0,449.0,481.0,441.0,444.0,450.0,448.0,458.0,484.0,463.0,427.0,475.0,455.0,462.0,414.0,440.0,478.0,467.0,486.0,469.0,465.0,412.0,461.0,465.0,447.0,423.0,476.0,462.0,436.0,441.0,471.0,483.0,445.0,485.0,461.0,474.0,467.0,458.0,464.0,446.0,463.0
classroom,441.0,357.0,445.0,477.0,343.0,402.0,347.0,383.0,341.0,385.0,344.0,310.0,336.0,333.0,385.0,367.0,352.0,355.0,370.0,399.0,337.0,389.0,303.0,341.0,382.0,310.0,322.0,458.0,339.0,337.0,443.0,346.0,393.0,313.0,391.0,476.0,385.0,345.0,378.0,400.0,396.0,395.0,452.0,354.0,372.0,455.0,355.0,342.0,447.0,369.0,454.0,377.0,368.0,357.0,357.0,376.0,341.0,396.0,367.0,392.0,349.0,360.0,320.0,376.0,356.0,377.0,378.0,402.0,388.0,348.0,386.0,438.0,365.0,306.0,334.0,372.0,444.0,423.0,398.0,368.0,375.0,388.0,374.0,358.0,350.0,422.0,393.0,325.0,386.0,412.0,421.0,389.0,450.0,348.0,415.0,348.0,346.0,323.0,370.0,347.0
dining,164.0,171.0,178.0,254.0,109.0,173.0,146.0,142.0,122.0,183.0,138.0,133.0,144.0,148.0,153.0,118.0,207.0,163.0,128.0,160.0,157.0,161.0,127.0,157.0,142.0,145.0,154.0,172.0,133.0,159.0,228.0,156.0,147.0,125.0,153.0,164.0,151.0,174.0,189.0,192.0,120.0,203.0,307.0,271.0,196.0,145.0,172.0,137.0,162.0,186.0,226.0,154.0,138.0,170.0,144.0,148.0,133.0,132.0,157.0,146.0,161.0,158.0,149.0,138.0,139.0,137.0,170.0,210.0,190.0,112.0,171.0,140.0,185.0,129.0,126.0,162.0,141.0,182.0,156.0,155.0,97.0,132.0,183.0,113.0,129.0,179.0,166.0,131.0,164.0,115.0,264.0,171.0,193.0,161.0,162.0,141.0,132.0,203.0,154.0,140.0
library,51.0,59.0,44.0,48.0,67.0,61.0,51.0,58.0,54.0,85.0,34.0,38.0,46.0,50.0,60.0,60.0,66.0,60.0,58.0,51.0,49.0,50.0,64.0,48.0,43.0,54.0,47.0,58.0,53.0,56.0,44.0,53.0,42.0,41.0,72.0,63.0,53.0,50.0,54.0,50.0,48.0,63.0,62.0,53.0,44.0,47.0,56.0,36.0,74.0,59.0,49.0,63.0,56.0,47.0,35.0,70.0,48.0,61.0,35.0,71.0,69.0,54.0,69.0,61.0,56.0,56.0,45.0,49.0,40.0,60.0,50.0,44.0,57.0,36.0,30.0,65.0,66.0,69.0,49.0,71.0,43.0,44.0,51.0,72.0,52.0,59.0,56.0,53.0,49.0,49.0,56.0,75.0,40.0,58.0,60.0,53.0,42.0,49.0,49.0,52.0
gym,144.0,176.0,177.0,190.0,168.0,193.0,140.0,191.0,158.0,165.0,181.0,138.0,188.0,182.0,219.0,202.0,202.0,160.0,165.0,196.0,162.0,185.0,152.0,170.0,147.0,222.0,170.0,169.0,167.0,187.0,176.0,194.0,166.0,205.0,229.0,146.0,190.0,190.0,178.0,189.0,167.0,190.0,147.0,163.0,157.0,226.0,193.0,163.0,181.0,221.0,167.0,156.0,163.0,178.0,163.0,205.0,158.0,181.0,136.0,194.0,188.0,167.0,199.0,171.0,171.0,170.0,193.0,153.0,228.0,144.0,179.0,169.0,166.0,136.0,197.0,162.0,182.0,163.0,178.0,193.0,173.0,189.0,178.0,154.0,152.0,181.0,184.0,146.0,176.0,200.0,177.0,146.0,172.0,153.0,200.0,162.0,184.0,165.0,167.0,186.0
social,101.0,115.0,124.0,110.0,123.0,103.0,124.0,126.0,115.0,114.0,121.0,111.0,143.0,124.0,98.0,114.0,113.0,121.0,118.0,111.0,120.0,123.0,100.0,103.0,140.0,109.0,130.0,119.0,132.0,112.0,90.0,134.0,103.0,116.0,107.0,111.0,102.0,88.0,107.0,111.0,101.0,110.0,94.0,100.0,104.0,112.0,117.0,126.0,130.0,109.0,112.0,118.0,100.0,103.0,129.0,76.0,107.0,105.0,113.0,101.0,90.0,120.0,93.0,117.0,100.0,116.0,104.0,115.0,101.0,136.0,116.0,103.0,106.0,109.0,102.0,119.0,112.0,99.0,113.0,112.0,115.0,124.0,123.0,135.0,112.0,114.0,127.0,113.0,137.0,118.0,81.0,110.0,108.0,152.0,122.0,132.0,119.0,105.0,85.0,99.0
transit,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
offCampus,6.0,9.0,10.0,9.0,5.0,4.0,5.0,7.0,6.0,3.0,13.0,10.0,3.0,10.0,5.0,6.0,4.0,6.0,5.0,8.0,8.0,5.0,2.0,3.0,10.0,5.0,6.0,5.0,5.0,12.0,5.0,7.0,8.0,6.0,6.0,5.0,2.0,3.0,7.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,3.0,6.0,5.0,8.0,5.0,12.0,5.0,5.0,9.0,1.0,6.0,8.0,6.0,5.0,2.0,4.0,4.0,4.0,4.0,9.0,7.0,6.0,7.0,8.0,7.0,6.0,6.0,10.0,7.0,5.0,4.0,4.0,4.0,6.0,4.0,6.0,3.0,7.0,10.0,7.0,5.0,8.0,3.0,3.0,2.0,7.0,6.0,5.0,4.0,9.0,7.0,5.0,6.0
office,3.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,9.0,3.0,0.0,1.0,3.0,0.0,8.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0
