,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,480,441,490,505,442,456,441,483,423,456,444,425,482,463,460,441,497,454,451,469,467,497,469,476,460,457,433,492,465,443,494,478,466,444,495,479,478,450,470,449,469,489,483,475,477,473,465,453,505,467,479,475,447,457,449,439,423,467,450,466,449,481,441,444,450,448,458,484,463,427,475,455,462,414,440,478,467,486,469,465,412,461,465,447,423,476,462,436,441,471,483,445,485,461,474,467,458,464,446,463
classroom,441,357,445,477,343,402,347,383,341,385,344,310,336,333,385,367,352,355,370,399,337,389,303,341,382,310,322,458,339,337,443,346,393,313,391,476,385,345,378,400,396,395,452,354,372,455,355,342,447,369,454,377,368,357,357,376,341,396,367,392,349,360,320,376,356,377,378,402,388,348,386,438,365,306,334,372,444,423,398,368,375,388,374,358,350,422,393,325,386,412,421,389,450,348,415,348,346,323,370,347
dining,164,171,178,254,109,173,146,142,122,183,138,133,144,148,153,118,207,163,128,160,157,161,127,157,142,145,154,172,133,159,228,156,147,125,153,164,151,174,189,192,120,203,307,271,196,145,172,137,162,186,226,154,138,170,144,148,133,132,157,146,161,158,149,138,139,137,170,210,190,112,171,140,185,129,126,162,141,182,156,155,97,132,183,113,129,179,166,131,164,115,264,171,193,161,162,141,132,203,154,140
library,51,59,44,48,67,61,51,58,54,85,34,38,46,50,60,60,66,60,58,51,49,50,64,48,43,54,47,58,53,56,44,53,42,41,72,63,53,50,54,50,48,63,62,53,44,47,56,36,74,59,49,63,56,47,35,70,48,61,35,71,69,54,69,61,56,56,45,49,40,60,50,44,57,36,30,65,66,69,49,71,43,44,51,72,52,59,56,53,49,49,56,75,40,58,60,53,42,49,49,52
gym,144,176,177,190,168,193,140,191,158,165,181,138,188,182,219,202,202,160,165,196,162,185,152,170,147,222,170,169,167,187,176,194,166,205,229,146,190,190,178,189,167,190,147,163,157,226,193,163,181,221,167,156,163,178,163,205,158,181,136,194,188,167,199,171,171,170,193,153,228,144,179,169,166,136,197,162,182,163,178,193,173,189,178,154,152,181,184,146,176,200,177,146,172,153,200,162,184,165,167,186
social,101,115,124,110,123,103,124,126,115,114,121,111,143,124,98,114,113,121,118,111,120,123,100,103,140,109,130,119,132,112,90,134,103,116,107,111,102,88,107,111,101,110,94,100,104,112,117,126,130,109,112,118,100,103,129,76,107,105,113,101,90,120,93,117,100,116,104,115,101,136,116,103,106,109,102,119,112,99,113,112,115,124,123,135,112,114,127,113,137,118,81,110,108,152,122,132,119,105,85,99
transit,0,1,1,0,1,0,2,3,1,2,0,0,0,0,0,0,0,2,0,0,1,1,2,2,2,1,2,2,1,1,1,2,3,2,3,3,2,0,0,0,0,2,0,0,1,3,2,2,0,0,1,1,1,2,1,2,3,1,2,0,4,1,1,1,0,0,2,1,0,1,0,2,1,0,0,0,0,2,2,0,0,1,2,1,2,3,2,0,0,2,2,0,1,1,0,0,1,1,0,0
offCampus,6,9,10,9,5,4,5,7,6,3,13,10,3,10,5,6,4,6,5,8,8,5,2,3,10,5,6,5,5,12,5,7,8,6,6,5,2,3,7,2,3,4,4,5,5,6,5,3,6,5,8,5,12,5,5,9,1,6,8,6,5,2,4,4,4,4,9,7,6,7,8,7,6,6,10,7,5,4,4,4,6,4,6,3,7,10,7,5,8,3,3,2,7,6,5,4,9,7,5,6
office,3,3,2,0,0,1,0,1,1,3,0,0,1,3,1,0,1,1,0,5,1,4,0,4,4,1,2,0,0,3,2,0,3,0,1,0,9,3,0,1,3,0,8,0,1,3,1,3,1,0,1,1,1,1,2,4,0,1,0,2,2,0,2,2,0,0,3,1,2,0,1,2,0,0,3,1,0,0,1,2,0,1,0,1,1,1,2,4,0,2,0,2,0,2,0,2,2,1,2,1
largeGathering,235,181,214,219,180,200,198,197,191,179,202,160,209,182,191,173,190,171,163,179,218,219,190,200,190,142,196,190,211,176,191,139,195,182,227,195,160,161,176,157,202,193,200,199,224,208,195,194,230,221,204,211,216,160,199,187,154,149,167,211,194,238,143,181,189,196,195,171,181,182,239,173,226,146,159,192,222,192,197,188,175,197,215,176,163,175,187,188,141,167,193,207,174,202,202,200,190,226,152,212
