,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,15.0,15.0,10.0,23.0,18.0,15.0,41.0,21.0,18.0,25.0,6.0,3.0,16.0,13.0,12.0,20.0,21.0,7.0,4.0,4.0,28.0,14.0,8.0,5.0,25.0,7.0,32.0,14.0,19.0,11.0,24.0,37.0,23.0,19.0,24.0,24.0,14.0,6.0,15.0,21.0,19.0,13.0,14.0,16.0,16.0,19.0,11.0,13.0,18.0,17.0,1.0,8.0,12.0,6.0,15.0,14.0,18.0,30.0,29.0,10.0,21.0,24.0,27.0,24.0,26.0,24.0,12.0,18.0,29.0,34.0,8.0,15.0,22.0,18.0,14.0,40.0,19.0,22.0,14.0,15.0,26.0,19.0,10.0,18.0,8.0,14.0,14.0,21.0,5.0,16.0,27.0,29.0,31.0,27.0,9.0,22.0,11.0,10.0,22.0,14.0
dorm,74.0,87.0,151.0,65.0,98.0,92.0,133.0,128.0,98.0,103.0,71.0,111.0,107.0,117.0,94.0,117.0,80.0,99.0,76.0,87.0,89.0,83.0,79.0,93.0,155.0,92.0,105.0,119.0,115.0,106.0,118.0,96.0,130.0,84.0,128.0,108.0,118.0,39.0,83.0,85.0,117.0,88.0,85.0,100.0,85.0,107.0,84.0,93.0,75.0,99.0,12.0,88.0,116.0,107.0,94.0,82.0,111.0,131.0,136.0,109.0,133.0,98.0,152.0,125.0,94.0,123.0,80.0,109.0,117.0,117.0,117.0,113.0,113.0,95.0,86.0,120.0,119.0,125.0,95.0,96.0,132.0,111.0,85.0,122.0,101.0,84.0,102.0,107.0,98.0,89.0,126.0,139.0,61.0,108.0,104.0,115.0,125.0,115.0,121.0,106.0
classroom,36.0,29.0,34.0,24.0,29.0,28.0,39.0,47.0,39.0,40.0,30.0,32.0,39.0,44.0,44.0,41.0,30.0,38.0,27.0,27.0,31.0,29.0,26.0,47.0,38.0,31.0,29.0,42.0,43.0,35.0,30.0,34.0,26.0,20.0,38.0,40.0,29.0,18.0,25.0,36.0,32.0,27.0,27.0,37.0,33.0,43.0,30.0,28.0,22.0,39.0,10.0,26.0,45.0,41.0,29.0,36.0,37.0,33.0,54.0,22.0,52.0,38.0,45.0,33.0,37.0,38.0,24.0,29.0,27.0,35.0,28.0,38.0,38.0,38.0,20.0,42.0,33.0,54.0,35.0,33.0,32.0,34.0,25.0,43.0,28.0,22.0,31.0,32.0,31.0,21.0,42.0,34.0,27.0,41.0,47.0,37.0,42.0,35.0,35.0,25.0
dining,9.0,14.0,21.0,7.0,18.0,8.0,25.0,11.0,19.0,17.0,6.0,14.0,13.0,20.0,10.0,24.0,12.0,14.0,25.0,21.0,14.0,15.0,10.0,15.0,23.0,16.0,14.0,20.0,21.0,15.0,15.0,16.0,23.0,14.0,15.0,15.0,17.0,9.0,18.0,18.0,17.0,16.0,9.0,21.0,12.0,22.0,11.0,14.0,14.0,18.0,0.0,9.0,25.0,23.0,12.0,11.0,18.0,18.0,19.0,20.0,17.0,12.0,30.0,25.0,16.0,10.0,14.0,17.0,16.0,15.0,16.0,28.0,19.0,20.0,21.0,25.0,17.0,25.0,10.0,21.0,26.0,21.0,11.0,16.0,24.0,14.0,16.0,21.0,13.0,19.0,20.0,21.0,10.0,13.0,24.0,24.0,16.0,20.0,12.0,18.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,74.0,69.0,126.0,60.0,97.0,85.0,106.0,134.0,91.0,102.0,63.0,104.0,102.0,81.0,102.0,136.0,80.0,90.0,77.0,79.0,79.0,83.0,68.0,81.0,135.0,72.0,99.0,124.0,123.0,97.0,114.0,79.0,118.0,83.0,117.0,94.0,111.0,38.0,91.0,78.0,95.0,96.0,87.0,97.0,87.0,117.0,90.0,108.0,80.0,91.0,15.0,102.0,101.0,117.0,91.0,76.0,113.0,130.0,123.0,108.0,109.0,117.0,127.0,127.0,101.0,127.0,73.0,94.0,114.0,109.0,126.0,92.0,105.0,78.0,91.0,113.0,105.0,125.0,87.0,90.0,116.0,110.0,83.0,117.0,102.0,80.0,123.0,88.0,77.0,92.0,130.0,117.0,54.0,105.0,77.0,89.0,130.0,122.0,108.0,91.0
transit,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,4.0,6.0,7.0,6.0,8.0,5.0,9.0,9.0,6.0,6.0,6.0,9.0,9.0,6.0,11.0,9.0,8.0,6.0,8.0,7.0,9.0,7.0,4.0,4.0,10.0,5.0,6.0,4.0,8.0,8.0,9.0,7.0,10.0,5.0,8.0,9.0,4.0,7.0,13.0,5.0,10.0,4.0,8.0,10.0,3.0,2.0,7.0,9.0,9.0,4.0,7.0,6.0,11.0,6.0,6.0,9.0,11.0,13.0,10.0,9.0,6.0,8.0,6.0,6.0,9.0,6.0,5.0,7.0,6.0,7.0,7.0,10.0,7.0,6.0,4.0,6.0,12.0,10.0,6.0,9.0,3.0,10.0,7.0,8.0,8.0,6.0,6.0,4.0,8.0,9.0,5.0,8.0,10.0,2.0,9.0,11.0,4.0,8.0,6.0,4.0
office,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
