,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,17.0,28.0,3.0,28.0,16.0,18.0,26.0,31.0,20.0,19.0,31.0,46.0,26.0,2.0,14.0,33.0,15.0,4.0,37.0,3.0,28.0,3.0,15.0,24.0,14.0,5.0,22.0,2.0,34.0,32.0,16.0,4.0,15.0,16.0,38.0,9.0,24.0,12.0,4.0,30.0,22.0,5.0,37.0,21.0,36.0,38.0,12.0,14.0,15.0,51.0,22.0,8.0,7.0,13.0,3.0,7.0,38.0,17.0,25.0,31.0,51.0,1.0,35.0,21.0,2.0,9.0,24.0,28.0,6.0,11.0,1.0,7.0,45.0,15.0,6.0,5.0,25.0,48.0,9.0,19.0,39.0,2.0,19.0,44.0,35.0,47.0,58.0,38.0,25.0,11.0,6.0,6.0,18.0,23.0,39.0,9.0,20.0,50.0,12.0,15.0
classroom,13.0,20.0,1.0,27.0,7.0,10.0,13.0,21.0,25.0,12.0,16.0,29.0,17.0,1.0,9.0,20.0,12.0,5.0,28.0,3.0,20.0,1.0,15.0,9.0,9.0,14.0,12.0,1.0,38.0,25.0,15.0,1.0,5.0,7.0,18.0,7.0,15.0,16.0,2.0,19.0,16.0,3.0,29.0,18.0,30.0,22.0,18.0,10.0,14.0,39.0,17.0,6.0,2.0,13.0,2.0,5.0,36.0,15.0,32.0,18.0,32.0,0.0,28.0,10.0,0.0,11.0,23.0,25.0,11.0,11.0,5.0,2.0,39.0,7.0,2.0,4.0,14.0,28.0,4.0,20.0,28.0,1.0,19.0,33.0,34.0,25.0,35.0,28.0,16.0,6.0,2.0,5.0,11.0,24.0,31.0,11.0,19.0,30.0,8.0,17.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,31.0,49.0,4.0,47.0,32.0,25.0,55.0,68.0,37.0,30.0,38.0,82.0,43.0,3.0,27.0,64.0,34.0,6.0,54.0,0.0,60.0,4.0,19.0,40.0,31.0,24.0,31.0,2.0,77.0,62.0,38.0,5.0,25.0,31.0,68.0,18.0,52.0,18.0,6.0,48.0,39.0,8.0,52.0,49.0,70.0,58.0,23.0,38.0,33.0,82.0,40.0,5.0,9.0,43.0,3.0,11.0,77.0,30.0,56.0,50.0,118.0,0.0,71.0,27.0,1.0,12.0,53.0,50.0,20.0,25.0,6.0,10.0,84.0,22.0,8.0,1.0,49.0,81.0,8.0,49.0,83.0,2.0,37.0,83.0,77.0,84.0,85.0,83.0,38.0,22.0,4.0,8.0,49.0,61.0,88.0,25.0,29.0,95.0,19.0,33.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,4.0,4.0,3.0,5.0,4.0,1.0,1.0,3.0,5.0,3.0,6.0,4.0,7.0,2.0,5.0,7.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,7.0,7.0,7.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,3.0,5.0,4.0,4.0,8.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,5.0,3.0,8.0,1.0,3.0,4.0,5.0,2.0,7.0,5.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,8.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,4.0,3.0,8.0,1.0,1.0,4.0,7.0,5.0,4.0,2.0,4.0,5.0,1.0,1.0,4.0,4.0,5.0
office,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
