,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,17,28,3,28,16,18,26,31,20,19,31,46,26,2,14,33,15,4,37,3,28,3,15,24,14,5,22,2,34,32,16,4,15,16,38,9,24,12,4,30,22,5,37,21,36,38,12,14,15,51,22,8,7,13,3,7,38,17,25,31,51,1,35,21,2,9,24,28,6,11,1,7,45,15,6,5,25,48,9,19,39,2,19,44,35,47,58,38,25,11,6,6,18,23,39,9,20,50,12,15
classroom,13,20,1,27,7,10,13,21,25,12,16,29,17,1,9,20,12,5,28,3,20,1,15,9,9,14,12,1,38,25,15,1,5,7,18,7,15,16,2,19,16,3,29,18,30,22,18,10,14,39,17,6,2,13,2,5,36,15,32,18,32,0,28,10,0,11,23,25,11,11,5,2,39,7,2,4,14,28,4,20,28,1,19,33,34,25,35,28,16,6,2,5,11,24,31,11,19,30,8,17
dining,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,31,49,4,47,32,25,55,68,37,30,38,82,43,3,27,64,34,6,54,0,60,4,19,40,31,24,31,2,77,62,38,5,25,31,68,18,52,18,6,48,39,8,52,49,70,58,23,38,33,82,40,5,9,43,3,11,77,30,56,50,118,0,71,27,1,12,53,50,20,25,6,10,84,22,8,1,49,81,8,49,83,2,37,83,77,84,85,83,38,22,4,8,49,61,88,25,29,95,19,33
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,4,4,3,5,4,1,1,3,5,3,6,4,7,2,5,7,2,1,3,3,5,3,4,4,3,5,7,7,7,2,3,2,1,2,5,3,3,5,4,4,8,4,4,2,2,5,1,4,5,3,8,1,3,4,5,2,7,5,3,4,4,4,5,6,4,1,3,1,1,3,3,1,3,3,3,8,2,1,5,5,4,5,1,4,3,8,1,1,4,7,5,4,2,4,5,1,1,4,4,5
office,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,8,1,0,0,1,0,0,2,0,0,0,1,0,0,4,1,1,0,0,0,2,0,1,0,0,2,3,0,0,0,1,3,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,4,0,0,1,0,0,0,2,10,2,0,0,0,0,0,0,0,0,1
largeGathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dorm_hub,2,4,0,5,0,2,4,3,4,2,9,7,3,0,0,5,2,1,6,0,2,0,3,4,4,2,3,0,5,7,1,0,1,3,3,0,2,6,0,4,1,0,7,4,5,6,0,2,3,9,2,0,0,1,0,0,6,4,4,4,5,0,3,2,0,1,2,5,0,0,0,1,8,1,2,1,3,4,2,1,8,0,3,5,5,7,11,9,3,0,0,1,3,2,5,1,4,10,3,0
classroom_hub,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dining_hub,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
