,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,74,87,151,65,98,92,133,128,98,103,71,111,107,117,94,117,80,99,76,87,89,83,79,93,155,92,105,119,115,106,118,96,130,84,128,108,118,39,83,85,117,88,85,100,85,107,84,93,75,99,12,88,116,107,94,82,111,131,136,109,133,98,152,125,94,123,80,109,117,117,117,113,113,95,86,120,119,125,95,96,132,111,85,122,101,84,102,107,98,89,126,139,61,108,104,115,125,115,121,106
classroom,36,29,34,24,29,28,39,47,39,40,30,32,39,44,44,41,30,38,27,27,31,29,26,47,38,31,29,42,43,35,30,34,26,20,38,40,29,18,25,36,32,27,27,37,33,43,30,28,22,39,10,26,45,41,29,36,37,33,54,22,52,38,45,33,37,38,24,29,27,35,28,38,38,38,20,42,33,54,35,33,32,34,25,43,28,22,31,32,31,21,42,34,27,41,47,37,42,35,35,25
dining,9,14,21,7,18,8,25,11,19,17,6,14,13,20,10,24,12,14,25,21,14,15,10,15,23,16,14,20,21,15,15,16,23,14,15,15,17,9,18,18,17,16,9,21,12,22,11,14,14,18,0,9,25,23,12,11,18,18,19,20,17,12,30,25,16,10,14,17,16,15,16,28,19,20,21,25,17,25,10,21,26,21,11,16,24,14,16,21,13,19,20,21,10,13,24,24,16,20,12,18
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,74,69,126,60,97,85,106,134,91,102,63,104,102,81,102,136,80,90,77,79,79,83,68,81,135,72,99,124,123,97,114,79,118,83,117,94,111,38,91,78,95,96,87,97,87,117,90,108,80,91,15,102,101,117,91,76,113,130,123,108,109,117,127,127,101,127,73,94,114,109,126,92,105,78,91,113,105,125,87,90,116,110,83,117,102,80,123,88,77,92,130,117,54,105,77,89,130,122,108,91
transit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,4,6,7,6,8,5,9,9,6,6,6,9,9,6,11,9,8,6,8,7,9,7,4,4,10,5,6,4,8,8,9,7,10,5,8,9,4,7,13,5,10,4,8,10,3,2,7,9,9,4,7,6,11,6,6,9,11,13,10,9,6,8,6,6,9,6,5,7,6,7,7,10,7,6,4,6,12,10,6,9,3,10,7,8,8,6,6,4,8,9,5,8,10,2,9,11,4,8,6,4
office,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
largeGathering,15,15,10,23,18,15,41,21,18,25,6,3,16,13,12,20,21,7,4,4,28,14,8,5,25,7,32,14,19,11,24,37,23,19,24,24,14,6,15,21,19,13,14,16,16,19,11,13,18,17,1,8,12,6,15,14,18,30,29,10,21,24,27,24,26,24,12,18,29,34,8,15,22,18,14,40,19,22,14,15,26,19,10,18,8,14,14,21,5,16,27,29,31,27,9,22,11,10,22,14
dorm_hub,2,7,17,2,4,10,10,11,9,9,5,9,6,10,7,11,3,7,7,5,4,7,7,11,21,10,11,10,5,9,13,6,14,4,9,13,8,1,2,6,11,4,3,5,5,9,3,7,3,4,0,8,6,5,4,5,8,8,10,9,15,5,14,12,6,7,7,14,11,11,12,11,9,6,5,6,12,3,10,8,9,9,7,9,7,8,6,6,9,4,11,10,4,8,13,10,14,9,12,5
classroom_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dining_hub,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
