,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,2,3,7,4,5,7,1,4,12,6,4,20,1,10,4,1,3,7,8,4,5,8,2,3,2,9,4,1,4,2,5,11,8,10,4,9,8,10,5,0,9,6,12,5,6,8,1,4,5,2,3,7,2,7,6,5,18,9,1,11,7,3,3,2,1,11,3,13,18,4,7,12,20,7,1,7,10,5,12,2,7,6,10,10,5,2,7,4,5,6,9,3,10,6,17,4,3,5,6,5
classroom,1,4,5,11,2,5,1,6,11,2,3,25,0,8,5,2,6,4,7,2,0,10,4,0,1,17,0,0,0,4,11,19,7,5,5,8,5,12,7,0,7,9,20,9,10,12,5,2,8,0,4,3,2,8,6,3,13,10,1,12,10,3,6,0,1,9,1,11,9,1,7,7,16,10,2,3,9,9,14,3,5,3,1,7,3,2,6,4,6,1,10,4,9,0,18,7,1,1,1,2
dining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,1,1,3,6,5,13,0,6,16,8,11,19,1,19,4,4,0,2,7,0,2,7,1,0,0,19,1,3,4,2,12,12,3,15,1,14,6,10,3,0,6,11,11,12,4,11,3,2,9,3,6,4,0,13,9,4,11,9,2,15,4,1,5,1,2,7,3,8,24,0,8,16,26,17,3,3,11,6,12,1,9,5,7,7,2,5,2,6,17,2,17,2,4,6,20,12,1,3,4,3
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,4,5,4,5,3,6,3,2,6,1,2,4,5,3,3,3,3,3,2,2,5,7,4,1,4,2,3,4,4,1,2,5,3,4,6,5,4,5,5,1,5,4,5,8,1,5,7,5,2,3,4,3,5,4,3,5,5,6,3,6,5,5,1,5,4,7,2,4,2,5,2,4,5,3,4,4,2,2,3,3,5,7,4,2,3,7,5,8,4,2,6,4,5,2,4,4,2,1,4,4
office,4,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,8,7,0,3,0,0,0,0,1,5,0,3,2,1,0,0,1,0,2,1,1,0,0,2,0,1,1,1,0,1,0,1,0,2,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0,14,0,0,0,4
largeGathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
