,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,21,63,46,48,41,75,73,11,66,41,23,82,66,79,60,54,63,63,62,33,56,68,65,38,77,52,14,12,68,25,72,49,80,62,79,53,24,32,75,59,49,61,10,51,65,54,81,44,91,8,58,68,7,44,11,57,61,45,64,79,71,67,14,55,17,35,32,53,71,60,17,77,38,94,23,55,11,50,31,24,79,14,57,27,65,66,70,9,61,47,34,34,36,54,54,20,65,88,61,23
classroom,7,41,16,23,29,28,33,1,34,14,13,34,28,34,22,22,26,27,25,17,24,25,35,20,41,27,4,7,19,10,35,19,25,25,37,27,7,7,33,32,25,29,1,17,31,27,35,15,34,4,21,27,0,17,4,27,25,14,27,37,28,28,5,15,6,23,17,15,31,31,4,30,19,36,11,21,6,23,21,11,34,4,28,11,38,21,31,0,32,21,16,20,9,22,25,8,34,42,25,7
dining,7,17,12,4,10,15,14,0,16,9,4,12,12,15,8,10,13,10,4,6,11,15,13,9,19,15,3,2,20,1,8,15,16,7,24,13,6,6,12,13,13,16,0,11,7,14,17,11,8,1,14,12,2,8,1,13,14,8,10,21,12,10,2,16,3,2,5,13,14,17,1,10,9,14,5,8,3,9,9,6,22,3,12,5,16,12,10,2,12,4,3,6,11,14,8,5,8,16,15,3
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,16,44,30,41,32,57,60,4,65,32,13,71,44,62,53,41,34,36,44,19,40,47,54,26,53,34,6,12,59,15,58,37,66,41,44,33,18,13,40,30,29,47,8,38,37,41,49,36,59,4,60,51,1,41,3,42,32,22,46,56,52,45,10,38,12,22,26,49,45,51,12,49,22,65,11,35,6,31,24,11,60,7,48,22,47,57,56,0,52,35,26,30,23,51,37,8,42,68,39,14
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,3,6,13,9,6,3,6,4,6,14,5,11,12,10,9,0,8,5,9,8,10,8,3,6,8,10,7,8,7,5,5,8,6,5,6,9,7,5,8,5,8,5,10,6,6,5,6,7,4,6,7,7,7,6,8,7,9,5,7,5,5,7,5,5,6,8,8,8,6,3,12,5,4,9,12,7,5,2,11,3,4,2,6,6,8,5,6,4,3,9,7,7,12,8,5,7,9,4,5,10
office,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,0,5,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,1
largeGathering,0,3,4,7,5,5,16,0,8,3,4,9,24,18,8,6,2,6,7,3,15,13,15,3,19,6,0,0,22,0,6,16,11,10,10,12,7,7,7,4,7,9,0,7,11,6,16,5,25,0,3,3,1,9,2,3,8,5,5,8,11,11,0,5,1,1,12,5,5,6,6,6,0,19,1,11,0,8,0,1,8,0,10,6,8,22,4,3,3,8,4,3,4,0,8,0,14,21,11,6
dorm_hub,2,5,7,3,2,5,4,0,1,4,1,9,3,8,8,6,7,9,10,2,4,8,3,2,6,6,2,1,1,2,7,1,10,9,8,4,2,2,10,6,4,2,1,3,4,3,5,6,13,0,5,7,0,3,0,6,9,3,6,2,4,5,1,5,1,6,0,5,7,2,0,7,8,9,2,6,0,3,2,1,6,0,4,1,4,2,5,1,2,3,3,2,2,6,2,0,2,7,3,2
