,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,14,12,18,8,13,11,11,11,11,13,8,16,9,13,20,6,8,19,16,18,10,10,28,13,18,9,14,10,19,11,8,19,12,9,15,5,19,12,10,12,6,17,11,20,20,14,19,5,11,15,6,31,7,10,15,9,9,9,2,34,17,12,5,9,16,7,9,6,15,6,13,9,6,8,16,8,18,15,9,11,19,10,14,10,12,11,7,10,12,8,19,9,12,11,11,6,5,17,12,16
classroom,7,5,11,3,9,4,9,6,2,3,1,10,2,14,8,1,0,12,14,11,5,5,23,3,8,2,6,6,8,10,3,13,7,3,2,1,6,8,5,3,2,8,4,11,17,7,16,4,3,13,3,22,2,3,9,3,8,1,0,23,3,7,0,4,8,3,15,5,6,2,9,3,5,3,12,2,10,8,0,3,6,5,4,14,7,6,0,3,5,5,8,2,1,7,8,0,1,12,6,14
dining,8,1,11,2,2,0,5,1,1,3,0,2,2,4,10,1,1,4,7,6,0,5,6,2,7,1,7,4,6,1,3,6,4,4,3,1,12,1,1,4,1,5,3,4,6,0,6,0,2,0,0,11,1,1,2,3,3,0,1,12,3,4,1,2,5,1,2,4,7,4,3,2,2,3,8,1,6,2,0,1,5,2,4,3,3,1,0,1,4,3,3,2,3,3,3,0,1,3,2,3
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,0,1,0,0,1,0,1,0,0,0,1,3,0,1,0,0,0,3,2,1,1,1,2,0,4,0,1,2,1,1,0,2,1,1,2,1,2,0,1,1,1,2,1,2,1,2,3,0,1,0,0,5,0,0,0,1,0,1,0,5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,3,1,0,1,0,0,2,1,0,0,1,0,0,1,2,0,0,0,0,1,1,1,2
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,7,7,11,9,7,9,9,4,4,7,4,7,4,5,3,5,5,2,4,7,11,6,7,5,4,6,7,8,8,11,7,12,7,3,4,7,3,5,2,9,4,9,6,5,11,6,7,6,12,4,8,8,3,9,8,5,6,3,12,8,7,3,6,3,7,5,11,2,6,7,8,3,6,6,4,2,15,8,2,4,3,9,8,7,5,8,8,7,8,16,8,8,5,8,8,5,3,7,4,7
office,3,0,0,1,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,4,3,1,1,0,0,3,0,0,0,4,1,3,1,0,4,0,2,2,1,1,1,4,0,0,0,1,1,0,0,1,1,0,2,0,9,0,0,0,0,0,2,1,3,2,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0
largeGathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dorm_hub,1,0,1,1,0,3,1,1,1,0,0,0,0,1,1,0,0,0,2,1,0,0,2,1,1,1,2,1,4,0,0,2,1,1,1,0,2,0,0,1,0,2,0,3,1,1,0,1,2,2,0,5,0,0,2,1,0,0,0,5,5,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,1,2,0,1,1,1,1,0,1,0,0,0,1
classroom_hub,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dining_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
