,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,19,11,48,30,56,25,47,16,24,46,41,35,42,36,18,45,26,19,10,24,18,52,20,20,8,54,33,39,14,21,24,34,17,12,18,56,48,15,49,44,27,21,50,36,22,55,25,24,43,26,21,8,23,29,52,28,21,46,13,57,23,32,17,15,36,28,13,52,92,39,21,18,40,63,27,12,29,28,50,54,68,44,46,17,9,13,10,37,29,61,58,12,33,26,49,36,47,36,8,32
classroom,8,4,19,17,14,8,25,6,11,19,29,13,16,10,6,14,8,8,3,12,9,25,3,5,1,31,21,22,8,8,13,14,6,7,4,24,19,7,25,10,12,13,27,14,11,22,14,9,13,13,12,0,9,17,17,10,11,12,2,17,9,7,3,9,12,13,6,17,36,18,12,8,12,30,13,5,7,7,28,25,32,16,21,7,1,5,4,24,14,19,22,8,20,11,31,11,21,16,3,14
dining,3,0,10,5,3,2,6,1,2,7,4,8,11,5,3,8,7,3,1,2,1,6,5,8,1,9,5,9,2,2,3,2,2,0,6,18,13,1,6,12,2,8,10,9,5,10,3,5,11,5,1,0,3,4,8,7,7,8,3,5,2,4,2,4,17,3,1,11,12,7,2,1,5,7,2,1,3,7,10,9,7,6,8,4,0,0,0,8,7,8,13,2,6,6,10,8,9,3,0,6
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,10,5,31,13,33,11,33,9,10,19,32,28,25,22,9,14,10,9,5,6,5,40,11,18,3,37,18,29,11,12,14,21,5,4,11,30,38,7,28,30,17,11,31,16,10,36,9,10,37,11,13,0,13,17,32,13,9,35,7,36,8,13,11,7,24,23,3,46,49,31,14,10,28,43,13,5,14,13,43,41,48,24,32,5,3,4,5,20,20,28,35,5,18,14,27,20,32,24,1,25
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,7,12,2,6,6,4,5,8,8,9,6,5,4,5,5,4,6,3,6,8,3,7,7,9,4,11,3,10,7,5,8,4,10,7,9,6,12,6,11,7,6,2,6,13,2,7,9,6,3,5,6,10,8,6,7,11,6,13,7,8,5,6,5,13,2,4,5,9,5,12,7,9,7,8,7,3,4,7,6,4,13,5,3,6,2,3,8,5,7,11,9,8,11,5,5,8,10,5,10,6
office,1,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,0,0,1,4,4,0,0,0,0,0,1,0,0,2,0,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,1,0
largeGathering,4,0,4,1,13,0,5,1,6,12,3,11,4,5,1,2,8,3,4,3,0,5,2,1,0,3,3,10,1,1,3,7,1,1,0,10,9,3,6,1,8,0,10,4,2,2,5,1,1,7,6,0,7,1,7,2,8,5,1,13,5,3,1,0,4,1,1,6,13,3,1,4,7,6,3,2,10,7,9,18,12,3,5,2,0,0,2,0,0,17,13,0,2,4,8,4,8,1,0,1
dorm_hub,1,1,3,1,5,3,1,2,2,3,4,0,3,2,1,10,4,2,0,4,1,5,0,0,1,5,3,2,1,1,2,4,2,0,1,1,1,0,6,4,1,1,6,4,2,7,1,3,1,1,3,0,1,1,7,5,1,3,2,6,2,4,2,0,1,2,1,2,8,3,3,3,3,8,1,0,2,3,4,5,9,7,6,2,0,0,0,3,2,8,4,1,0,0,4,1,3,4,0,3
classroom_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dining_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
