,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,21.0,21.0,2.0,8.0,23.0,5.0,11.0,20.0,9.0,21.0,12.0,15.0,9.0,17.0,11.0,8.0,19.0,13.0,25.0,18.0,16.0,56.0,9.0,11.0,21.0,21.0,37.0,7.0,2.0,4.0,18.0,4.0,7.0,15.0,16.0,9.0,35.0,13.0,12.0,22.0,24.0,16.0,25.0,15.0,21.0,18.0,7.0,30.0,18.0,31.0,13.0,15.0,8.0,6.0,16.0,10.0,13.0,5.0,1.0,6.0,12.0,8.0,0.0,24.0,9.0,21.0,16.0,2.0,14.0,26.0,11.0,5.0,0.0,13.0,4.0,7.0,5.0,6.0,19.0,6.0,17.0,31.0,7.0,6.0,23.0,6.0,0.0,12.0,19.0,19.0,12.0,11.0,18.0,10.0,12.0,21.0,11.0,17.0,31.0,0.0
dorm,111.0,80.0,86.0,44.0,99.0,104.0,82.0,91.0,90.0,122.0,96.0,67.0,93.0,79.0,88.0,79.0,106.0,110.0,112.0,87.0,92.0,156.0,31.0,83.0,63.0,86.0,122.0,98.0,73.0,77.0,92.0,51.0,73.0,86.0,91.0,41.0,90.0,77.0,91.0,78.0,115.0,85.0,133.0,94.0,92.0,88.0,54.0,77.0,135.0,112.0,75.0,112.0,85.0,62.0,75.0,88.0,105.0,79.0,41.0,45.0,72.0,94.0,46.0,96.0,90.0,102.0,62.0,93.0,67.0,100.0,124.0,77.0,17.0,32.0,80.0,87.0,112.0,70.0,110.0,69.0,87.0,136.0,120.0,89.0,116.0,74.0,22.0,91.0,123.0,87.0,77.0,70.0,114.0,58.0,85.0,90.0,71.0,115.0,113.0,28.0
classroom,49.0,56.0,44.0,23.0,40.0,52.0,30.0,37.0,38.0,43.0,31.0,30.0,43.0,36.0,51.0,44.0,25.0,47.0,40.0,33.0,44.0,63.0,27.0,41.0,28.0,32.0,45.0,35.0,28.0,40.0,34.0,25.0,37.0,42.0,55.0,17.0,36.0,31.0,43.0,35.0,48.0,45.0,48.0,33.0,39.0,33.0,30.0,40.0,60.0,40.0,42.0,35.0,26.0,45.0,37.0,38.0,51.0,41.0,22.0,20.0,36.0,39.0,18.0,37.0,50.0,56.0,30.0,41.0,38.0,53.0,46.0,21.0,9.0,14.0,38.0,34.0,44.0,39.0,40.0,32.0,30.0,53.0,56.0,41.0,47.0,38.0,9.0,47.0,50.0,32.0,29.0,40.0,53.0,31.0,44.0,38.0,38.0,44.0,50.0,13.0
dining,14.0,23.0,13.0,8.0,22.0,14.0,20.0,21.0,18.0,23.0,14.0,20.0,16.0,10.0,27.0,17.0,33.0,19.0,16.0,15.0,23.0,40.0,2.0,12.0,12.0,24.0,28.0,31.0,16.0,21.0,18.0,4.0,19.0,18.0,21.0,9.0,11.0,27.0,21.0,17.0,19.0,13.0,28.0,17.0,26.0,18.0,11.0,25.0,22.0,20.0,18.0,28.0,25.0,17.0,16.0,18.0,21.0,13.0,3.0,10.0,15.0,16.0,5.0,21.0,15.0,21.0,14.0,14.0,6.0,13.0,24.0,20.0,2.0,6.0,14.0,11.0,23.0,14.0,27.0,14.0,20.0,17.0,23.0,24.0,23.0,19.0,3.0,24.0,24.0,19.0,16.0,18.0,18.0,12.0,17.0,14.0,13.0,20.0,35.0,3.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,96.0,58.0,52.0,25.0,77.0,70.0,62.0,65.0,73.0,82.0,73.0,54.0,77.0,54.0,67.0,59.0,97.0,87.0,104.0,64.0,78.0,110.0,22.0,64.0,59.0,44.0,82.0,78.0,67.0,67.0,62.0,40.0,55.0,84.0,72.0,23.0,79.0,55.0,68.0,65.0,93.0,61.0,92.0,73.0,75.0,67.0,42.0,55.0,80.0,72.0,56.0,93.0,71.0,45.0,42.0,62.0,83.0,76.0,37.0,38.0,70.0,72.0,34.0,79.0,71.0,76.0,39.0,58.0,59.0,76.0,86.0,53.0,9.0,21.0,68.0,65.0,97.0,64.0,71.0,41.0,73.0,91.0,95.0,66.0,83.0,87.0,12.0,61.0,92.0,73.0,53.0,56.0,87.0,33.0,83.0,74.0,54.0,72.0,85.0,27.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,8.0,5.0,11.0,6.0,2.0,5.0,6.0,2.0,13.0,4.0,6.0,3.0,9.0,10.0,4.0,4.0,6.0,9.0,3.0,6.0,9.0,5.0,6.0,4.0,6.0,10.0,9.0,3.0,5.0,11.0,9.0,2.0,9.0,3.0,8.0,5.0,8.0,7.0,3.0,9.0,5.0,4.0,5.0,4.0,8.0,6.0,7.0,5.0,5.0,5.0,9.0,11.0,5.0,10.0,6.0,6.0,6.0,9.0,7.0,7.0,7.0,5.0,4.0,6.0,6.0,6.0,4.0,7.0,10.0,7.0,9.0,5.0,9.0,4.0,8.0,7.0,6.0,7.0,7.0,6.0,11.0,5.0,7.0,4.0,6.0,4.0,8.0,8.0,6.0,7.0,14.0,5.0,8.0,4.0,9.0,8.0,8.0,5.0,7.0,9.0
office,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
