,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,10.0,9.0,2.0,12.0,5.0,6.0,1.0,0.0,7.0,11.0,8.0,9.0,5.0,10.0,4.0,5.0,4.0,2.0,15.0,5.0,8.0,1.0,16.0,1.0,2.0,17.0,10.0,8.0,5.0,16.0,5.0,14.0,9.0,7.0,2.0,7.0,0.0,10.0,14.0,5.0,0.0,7.0,8.0,10.0,1.0,4.0,4.0,6.0,6.0,0.0,0.0,7.0,4.0,13.0,2.0,0.0,6.0,6.0,26.0,6.0,9.0,8.0,5.0,10.0,12.0,2.0,0.0,10.0,6.0,3.0,7.0,5.0,1.0,31.0,1.0,13.0,5.0,6.0,0.0,23.0,0.0,10.0,11.0,2.0,0.0,18.0,7.0,13.0,9.0,11.0,5.0,4.0,6.0,0.0,4.0,2.0,5.0,6.0,5.0,6.0
dorm,73.0,85.0,27.0,52.0,33.0,82.0,66.0,14.0,54.0,63.0,54.0,59.0,25.0,89.0,29.0,57.0,46.0,25.0,65.0,43.0,65.0,14.0,93.0,64.0,35.0,90.0,79.0,50.0,72.0,68.0,78.0,61.0,53.0,47.0,39.0,43.0,29.0,49.0,86.0,57.0,4.0,51.0,64.0,60.0,49.0,57.0,15.0,71.0,57.0,20.0,14.0,53.0,59.0,72.0,51.0,20.0,38.0,37.0,135.0,55.0,51.0,51.0,71.0,82.0,67.0,18.0,6.0,66.0,97.0,51.0,40.0,61.0,20.0,88.0,46.0,60.0,33.0,55.0,21.0,97.0,38.0,79.0,76.0,32.0,25.0,61.0,43.0,72.0,59.0,51.0,68.0,47.0,72.0,9.0,46.0,17.0,51.0,52.0,53.0,32.0
classroom,36.0,52.0,14.0,21.0,19.0,40.0,38.0,7.0,37.0,23.0,17.0,27.0,11.0,43.0,14.0,21.0,26.0,16.0,29.0,19.0,19.0,6.0,43.0,28.0,16.0,43.0,47.0,26.0,36.0,17.0,37.0,26.0,19.0,25.0,4.0,22.0,10.0,38.0,46.0,27.0,3.0,15.0,19.0,31.0,20.0,33.0,5.0,21.0,24.0,10.0,8.0,20.0,24.0,28.0,27.0,12.0,31.0,21.0,41.0,26.0,22.0,13.0,36.0,33.0,33.0,8.0,0.0,31.0,29.0,22.0,18.0,29.0,6.0,35.0,28.0,27.0,17.0,24.0,10.0,40.0,11.0,39.0,27.0,18.0,12.0,30.0,17.0,37.0,35.0,20.0,26.0,26.0,34.0,3.0,30.0,10.0,32.0,20.0,18.0,14.0
dining,21.0,14.0,3.0,9.0,11.0,13.0,14.0,5.0,12.0,8.0,9.0,16.0,4.0,21.0,6.0,11.0,9.0,3.0,15.0,10.0,14.0,0.0,15.0,12.0,8.0,28.0,16.0,6.0,7.0,16.0,19.0,15.0,13.0,8.0,7.0,9.0,5.0,11.0,24.0,7.0,2.0,9.0,12.0,16.0,7.0,13.0,0.0,10.0,8.0,4.0,2.0,15.0,6.0,12.0,13.0,3.0,6.0,6.0,26.0,8.0,17.0,9.0,15.0,16.0,18.0,4.0,0.0,13.0,12.0,11.0,3.0,15.0,3.0,15.0,14.0,16.0,6.0,8.0,2.0,16.0,5.0,9.0,21.0,9.0,5.0,10.0,4.0,13.0,16.0,11.0,12.0,12.0,11.0,4.0,14.0,3.0,8.0,6.0,12.0,5.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,47.0,61.0,14.0,42.0,17.0,70.0,50.0,6.0,56.0,48.0,46.0,53.0,10.0,52.0,14.0,30.0,27.0,16.0,49.0,22.0,38.0,6.0,61.0,51.0,29.0,51.0,57.0,39.0,60.0,51.0,57.0,51.0,29.0,41.0,33.0,16.0,21.0,33.0,64.0,43.0,1.0,29.0,30.0,41.0,38.0,30.0,4.0,47.0,44.0,10.0,7.0,47.0,39.0,54.0,36.0,11.0,30.0,26.0,82.0,34.0,38.0,46.0,64.0,59.0,41.0,14.0,1.0,54.0,71.0,44.0,21.0,42.0,10.0,73.0,41.0,45.0,8.0,43.0,16.0,77.0,22.0,59.0,50.0,26.0,14.0,39.0,39.0,35.0,48.0,29.0,49.0,30.0,72.0,1.0,33.0,11.0,31.0,30.0,33.0,19.0
transit,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,3.0,8.0,10.0,9.0,9.0,5.0,4.0,5.0,6.0,4.0,10.0,6.0,10.0,6.0,6.0,5.0,7.0,8.0,10.0,4.0,6.0,7.0,10.0,8.0,5.0,7.0,9.0,9.0,8.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,7.0,6.0,8.0,4.0,6.0,1.0,6.0,7.0,9.0,7.0,8.0,10.0,11.0,6.0,11.0,6.0,8.0,9.0,10.0,9.0,9.0,5.0,12.0,10.0,9.0,6.0,6.0,6.0,9.0,7.0,2.0,8.0,6.0,7.0,9.0,10.0,9.0,11.0,8.0,3.0,3.0,8.0,4.0,6.0,6.0,8.0,5.0,7.0,5.0,12.0,9.0,8.0,6.0,7.0,5.0,11.0,8.0,3.0,5.0,8.0,10.0,6.0,6.0,8.0
office,1.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0
