,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,4,4,19,9,8,9,2,8,14,1,4,6,5,13,5,12,8,2,19,6,4,11,10,8,4,8,11,4,4,3,9,7,6,3,7,11,7,5,9,15,13,5,5,14,11,29,3,6,5,12,5,12,14,5,11,15,19,11,7,14,10,14,3,7,5,11,4,15,30,14,4,6,10,11,3,15,21,6,19,4,21,4,6,16,16,9,12,12,16,11,5,15,6,3,18,12,8,13,17,16
classroom,6,3,20,5,8,15,5,14,17,2,6,4,3,3,4,17,5,15,13,16,3,16,14,5,8,12,10,6,5,7,8,2,3,3,5,11,14,9,11,13,16,6,10,22,5,26,3,6,9,13,4,11,15,8,6,10,19,14,9,16,23,9,2,7,13,10,8,19,31,15,5,3,6,11,4,19,11,5,23,2,22,7,7,19,15,8,13,25,19,9,11,22,7,2,14,15,7,19,15,19
dining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,7,6,17,10,3,9,1,10,17,3,6,6,2,17,3,15,9,11,20,6,1,7,15,6,2,16,5,4,6,8,2,0,10,3,10,14,8,1,13,15,10,5,9,10,10,39,3,4,3,5,7,15,10,9,16,11,22,14,14,12,11,9,3,2,9,4,10,12,38,18,4,2,11,19,1,20,29,10,22,3,23,1,6,27,22,3,18,25,12,7,3,11,7,3,16,18,5,21,16,20
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,17,13,13,14,13,14,19,11,13,11,14,15,4,12,8,13,24,15,16,13,11,12,8,13,15,16,4,14,13,21,18,15,12,10,13,11,8,22,12,17,13,9,22,15,14,17,14,11,17,11,15,14,12,13,22,19,16,14,14,15,20,14,11,20,13,19,18,7,19,12,14,8,15,15,21,17,11,8,19,12,21,13,15,15,23,12,11,20,14,14,10,19,12,11,17,9,10,19,18,12
office,5,0,0,0,3,4,5,5,1,0,3,0,0,1,0,3,1,1,2,2,0,2,6,0,1,0,0,1,0,2,4,1,2,0,0,0,4,2,7,5,0,9,3,2,6,3,2,2,2,2,1,1,0,5,4,4,2,14,8,3,3,6,0,6,2,2,8,6,1,6,4,0,1,1,3,1,1,2,1,1,1,0,0,0,0,4,1,6,1,9,6,1,4,1,4,0,0,9,1,3
largeGathering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
