,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,45,71,58,117,41,65,36,73,85,85,58,67,63,57,90,97,66,61,74,46,49,51,69,40,52,57,62,34,57,66,66,58,67,56,65,85,26,43,79,62,104,65,84,57,40,63,45,76,68,70,65,81,77,38,71,24,58,34,52,83,61,65,80,70,55,54,30,37,91,75,40,68,33,58,58,76,74,72,43,94,59,68,48,83,89,85,50,80,39,65,26,91,82,26,66,65,70,66,64,70
classroom,17,39,31,46,20,32,17,38,33,27,31,20,31,31,35,56,37,32,24,21,29,18,28,19,26,27,30,30,25,42,29,30,34,37,21,25,17,19,37,30,39,34,42,19,16,29,31,38,25,39,23,33,46,23,24,19,26,18,28,42,34,24,44,25,28,25,17,23,29,42,24,33,21,28,35,46,39,27,25,41,30,33,27,34,29,32,32,40,23,34,21,44,37,25,32,39,31,23,24,33
dining,9,8,13,16,7,13,4,13,13,22,11,15,12,6,21,18,16,14,22,13,8,16,13,11,15,17,16,6,8,16,11,10,19,13,12,18,3,10,22,6,19,22,15,14,9,15,12,18,8,11,10,7,14,14,14,7,12,7,4,12,16,17,15,13,9,6,5,9,16,15,13,8,6,12,13,20,21,13,8,18,17,22,19,18,24,24,12,13,12,14,5,20,30,4,19,10,13,8,23,21
library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,35,53,41,83,22,46,16,48,62,54,53,34,52,36,58,61,47,41,58,41,22,44,55,23,26,34,37,25,44,45,37,41,47,55,43,61,15,33,56,40,53,40,49,48,28,53,16,64,42,42,42,68,45,26,60,15,46,27,25,64,47,38,53,47,28,36,27,24,55,57,25,45,30,32,36,40,57,44,27,50,43,62,30,69,64,58,27,63,36,43,18,70,66,14,47,53,52,46,42,47
transit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,51,58,62,47,60,54,45,44,66,48,40,56,60,39,56,51,70,44,48,50,56,59,47,58,58,58,60,56,38,77,49,46,54,57,45,57,57,61,44,53,51,46,50,55,61,50,53,53,50,54,47,53,50,57,50,60,54,51,41,53,53,55,47,48,68,49,51,52,51,47,51,47,50,53,46,49,63,39,59,50,50,50,40,50,63,53,50,46,57,42,59,58,52,55,51,51,48,63,49,48
office,2,0,3,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,5,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,4,1,1,0,4,1,1,1,1,0,1,2,0,0,0,2,0,0,3,1,0,1,0,0,0,2,2,2,2,0,1,0,0,1,0,0,0,4,0,0,1,0,0,3,4,0,2
largeGathering,6,16,9,25,18,19,7,5,8,11,2,30,9,11,12,13,4,14,9,4,9,7,2,8,5,8,18,3,6,19,17,4,8,16,6,15,6,2,7,3,18,8,13,8,9,5,10,11,17,14,11,16,4,13,17,6,8,13,21,17,7,5,10,4,18,10,2,4,13,21,3,14,3,15,14,16,15,11,14,22,18,31,10,9,13,26,9,21,12,3,6,15,10,0,14,14,10,20,7,6
