,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,464,460,497,489,484,506,486,495,485,468,486,487,470,480,478,469,469,469,480,489,494,496,486,483,485,499,486,482,469,484,475,502,495,499,467,476,488,475,493,491,477,458,482,473,489,496,495,480,459,456,483,479,482,485,490,466,478,477,459,481,505,492,475,481,492,456,498,467,475,476,462,469,491,483,487,491,463,476,473,469,482,479,471,476,469,465,500,485,478,504,502,499,502,463,497,492,485,468,496,471
classroom,507,498,502,347,559,513,565,486,397,577,498,432,441,550,507,516,543,466,451,424,444,463,435,462,563,520,482,512,560,397,428,474,545,488,590,418,460,505,447,446,598,562,485,610,476,415,482,483,620,536,551,483,539,522,422,593,515,397,593,448,449,455,569,567,470,516,432,488,441,617,419,503,541,481,495,476,594,623,569,497,449,534,483,455,506,470,421,485,528,500,455,467,434,535,497,490,498,579,439,603
dining,210,354,200,164,255,257,214,186,194,274,249,221,250,332,231,200,260,286,231,206,281,170,234,242,268,205,201,282,315,265,187,189,206,233,294,242,202,192,256,228,233,341,218,285,323,218,288,226,242,286,220,276,235,186,222,243,304,216,269,222,211,210,250,274,251,292,207,257,163,317,165,279,282,241,173,176,290,315,377,289,231,266,240,200,240,212,189,160,275,224,214,278,231,384,194,189,217,216,204,257
library,87,96,48,62,96,63,81,70,51,65,100,46,62,56,76,92,90,86,69,64,52,87,78,69,44,58,66,62,125,69,65,84,70,40,116,83,67,122,38,81,78,91,63,70,73,56,69,49,68,76,94,106,93,70,56,133,79,67,65,68,67,46,74,80,85,72,77,72,69,70,63,77,66,71,85,69,93,86,65,114,78,97,79,84,112,68,52,57,70,69,92,76,63,76,58,52,81,67,65,76
gym,165,135,164,152,121,149,164,158,150,123,159,149,133,142,153,180,172,193,154,162,166,151,146,163,143,166,148,106,127,160,152,112,178,139,142,134,147,150,155,118,136,115,134,140,118,165,136,149,157,140,145,164,160,140,172,127,160,123,190,140,136,160,174,158,133,158,141,128,147,115,152,147,158,141,146,154,152,110,131,172,167,140,155,157,129,134,147,153,149,99,140,132,162,141,148,125,135,127,173,132
social,338,254,300,364,342,317,361,339,353,288,287,316,356,314,366,303,317,341,352,369,373,338,338,304,316,320,346,312,311,341,380,348,294,372,302,341,307,350,345,346,323,351,374,303,314,313,332,323,345,330,299,325,269,386,324,324,312,344,305,356,367,328,310,284,362,333,365,333,346,336,340,320,293,344,298,359,332,326,324,313,340,350,335,330,364,394,322,367,329,338,364,333,292,295,358,328,323,338,321,376
transit,2,1,2,1,1,1,0,1,0,1,1,0,2,1,3,3,2,3,2,1,2,3,1,2,0,0,1,3,3,0,1,3,2,1,2,2,0,1,2,1,0,0,1,2,4,0,0,2,0,1,2,1,3,1,2,2,0,1,3,2,2,0,5,2,2,2,1,0,1,0,0,2,0,4,0,1,1,1,0,2,2,0,2,0,1,0,0,0,3,3,2,1,1,1,2,0,1,1,1,2
offCampus,10,4,6,7,4,5,2,4,2,5,4,3,6,10,8,7,3,4,5,3,6,4,7,5,7,3,3,7,6,8,6,3,4,5,4,2,2,10,1,3,4,7,5,6,7,6,8,3,5,8,3,3,7,3,5,5,5,7,6,8,0,3,9,3,5,2,8,1,11,4,2,4,8,11,4,3,6,7,5,9,5,6,3,7,4,8,7,5,3,5,9,5,5,8,8,1,7,4,5,4
office,14,6,6,4,3,2,3,3,2,1,1,0,10,1,0,3,12,18,3,0,4,5,4,3,1,0,2,13,16,1,1,2,4,0,25,1,4,8,2,2,12,12,2,6,5,2,2,4,8,1,11,17,6,3,2,19,10,2,24,6,11,9,8,34,4,1,13,2,3,8,0,3,1,4,0,2,5,4,20,5,5,14,1,1,9,4,4,5,6,5,3,3,1,5,0,3,1,9,2,18
largeGathering,173,197,192,188,165,166,192,191,221,232,185,210,165,179,177,184,177,197,170,169,180,143,161,223,196,167,201,191,162,163,167,185,140,164,171,199,211,162,160,180,197,165,183,159,175,223,186,192,176,229,209,120,181,164,219,174,180,209,187,148,203,208,162,167,177,185,174,201,181,175,212,197,191,202,182,167,183,148,174,174,184,175,147,168,194,180,176,169,170,215,159,168,188,206,162,186,166,193,188,184
