,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,474,452,446,480,495,460,471,489,461,488,455,468,458,466,489,450,477,470,472,498,464,459,492,491,494,487,476,494,486,473,493,451,465,463,492,509,466,472,477,481,491,477,491,484,482,492,490,486,470,438,469,463,453,481,459,480,451,451,468,484,490,472,493,470,460,486,479,479,480,501,490,472,460,466,485,477,478,459,448,486,441,465,463,490,490,483,460,499,449,486,470,446,487,472,488,460,460,495,470,484
classroom,511,511,633,436,451,455,446,509,555,447,427,559,588,528,424,630,541,441,456,398,651,564,490,429,495,416,472,457,406,425,481,662,573,527,375,461,561,530,528,547,484,521,504,542,425,461,465,450,622,589,460,404,500,501,596,513,540,538,540,487,436,506,423,559,582,532,535,511,485,483,498,529,546,582,530,437,470,575,516,462,568,572,549,469,492,405,588,427,598,469,543,609,455,570,503,588,578,422,472,480
dining,236,282,382,197,234,213,267,234,288,194,245,322,221,289,270,295,193,273,217,193,350,228,212,201,283,176,267,173,203,306,225,337,316,281,212,204,266,254,298,281,236,290,207,248,231,212,229,277,318,346,250,237,309,354,291,304,306,310,246,223,218,295,197,247,316,209,230,195,237,232,186,264,281,293,203,235,239,301,227,302,285,312,270,297,231,281,343,170,364,239,216,362,226,231,250,428,329,250,183,251
library,76,88,66,84,69,54,97,64,90,52,94,92,55,62,66,59,51,84,59,65,54,85,59,68,73,75,78,47,72,68,70,65,73,58,72,69,73,64,50,87,69,79,79,69,42,52,68,71,63,78,58,89,93,62,64,59,104,109,77,82,64,68,62,60,67,77,69,77,113,65,52,56,47,54,62,77,97,91,92,63,114,97,67,88,61,63,62,75,68,77,89,73,66,74,79,69,71,70,51,84
gym,139,165,130,161,169,163,121,154,159,144,141,143,158,166,135,150,168,125,150,135,149,137,134,140,140,142,151,146,156,123,135,117,152,140,143,136,163,139,137,145,137,144,138,144,149,118,168,134,162,143,106,163,128,121,127,144,152,143,122,123,166,142,189,126,130,148,134,155,121,137,144,141,144,154,153,121,139,136,123,123,142,123,147,117,153,136,139,133,125,164,137,118,128,157,132,141,147,134,115,120
social,310,316,289,332,274,332,274,259,304,323,262,290,273,321,309,310,309,304,342,328,302,353,311,287,290,315,314,285,297,339,302,307,290,320,355,296,266,301,317,306,241,291,288,304,311,331,295,315,309,329,353,344,329,273,301,280,288,281,311,302,316,281,279,296,336,303,326,303,317,273,319,312,304,292,286,305,289,283,345,303,316,293,308,303,306,336,312,311,298,311,339,281,326,307,304,276,306,300,353,300
transit,0,1,3,1,2,2,4,3,0,0,2,3,2,0,1,4,0,0,2,0,2,2,0,2,2,1,2,1,0,2,2,2,3,3,0,0,3,0,2,1,0,0,1,0,0,1,1,0,0,0,0,2,2,2,2,1,3,1,1,2,2,0,0,3,1,4,1,1,1,1,1,3,0,2,5,1,1,1,1,1,1,3,4,1,0,1,0,2,0,2,2,3,0,2,0,2,0,1,1,2
offCampus,3,3,4,6,5,1,8,3,5,9,5,4,3,4,4,3,2,4,6,14,1,6,5,3,2,11,1,4,9,5,3,1,6,6,7,4,4,3,2,4,4,5,5,4,2,6,8,3,4,4,6,4,6,0,2,6,6,6,9,10,6,7,4,2,6,4,9,9,6,7,3,4,4,1,6,1,7,3,2,7,4,3,5,5,6,4,8,5,4,3,3,4,5,3,5,7,5,1,9,7
office,1,7,25,3,1,1,3,2,1,3,1,3,18,0,1,23,11,9,5,0,34,16,3,3,2,0,10,0,1,3,5,36,3,7,2,2,3,7,3,12,6,7,2,4,1,3,1,12,24,17,4,11,1,7,6,8,1,11,21,3,2,2,2,1,16,5,9,4,3,4,10,8,11,5,5,1,2,18,4,1,26,19,11,1,2,0,24,3,18,12,1,29,14,6,8,22,13,1,1,6
largeGathering,206,167,171,162,186,154,174,171,201,136,200,153,202,190,180,193,181,202,192,176,183,169,182,216,207,179,163,224,180,176,161,183,163,200,193,197,178,183,148,168,233,172,190,173,209,164,160,196,164,180,206,172,162,199,156,176,161,191,172,163,115,175,177,182,171,171,158,175,170,211,199,179,208,177,182,216,178,233,167,157,150,187,162,172,152,166,153,192,159,162,178,192,199,165,182,160,177,153,151,179
