,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,196.0,204.0,181.0,185.0,148.0,158.0,200.0,222.0,184.0,177.0,177.0,166.0,203.0,193.0,163.0,142.0,157.0,196.0,159.0,183.0,208.0,205.0,200.0,178.0,163.0,151.0,204.0,176.0,190.0,205.0,194.0,144.0,195.0,141.0,188.0,157.0,154.0,182.0,180.0,172.0,191.0,182.0,193.0,216.0,157.0,192.0,187.0,143.0,177.0,188.0,191.0,177.0,150.0,179.0,179.0,190.0,181.0,154.0,214.0,141.0,159.0,161.0,169.0,180.0,175.0,154.0,174.0,192.0,181.0,128.0,163.0,182.0,157.0,148.0,120.0,166.0,190.0,193.0,187.0,163.0,235.0,148.0,184.0,184.0,174.0,167.0,189.0,164.0,145.0,132.0,178.0,152.0,162.0,152.0,161.0,213.0,200.0,184.0,177.0,158.0
dorm,457.0,493.0,473.0,479.0,491.0,441.0,461.0,457.0,476.0,478.0,444.0,440.0,479.0,457.0,474.0,458.0,476.0,481.0,458.0,463.0,488.0,490.0,497.0,446.0,480.0,483.0,487.0,462.0,484.0,485.0,475.0,461.0,469.0,440.0,471.0,465.0,472.0,471.0,473.0,482.0,488.0,473.0,486.0,453.0,449.0,469.0,477.0,466.0,442.0,459.0,441.0,472.0,478.0,482.0,470.0,501.0,450.0,493.0,476.0,476.0,491.0,475.0,436.0,492.0,480.0,441.0,487.0,480.0,485.0,447.0,480.0,477.0,461.0,473.0,484.0,462.0,464.0,458.0,482.0,458.0,477.0,488.0,485.0,454.0,460.0,461.0,474.0,472.0,473.0,443.0,458.0,442.0,493.0,465.0,457.0,452.0,436.0,484.0,460.0,464.0
classroom,569.0,420.0,440.0,522.0,427.0,717.0,507.0,557.0,485.0,530.0,537.0,704.0,508.0,596.0,548.0,559.0,547.0,468.0,557.0,509.0,508.0,447.0,436.0,566.0,536.0,442.0,438.0,481.0,473.0,480.0,532.0,618.0,571.0,613.0,465.0,439.0,455.0,505.0,480.0,435.0,387.0,441.0,436.0,506.0,498.0,524.0,441.0,677.0,585.0,537.0,686.0,512.0,560.0,461.0,502.0,482.0,592.0,432.0,468.0,534.0,523.0,478.0,635.0,504.0,504.0,568.0,518.0,515.0,524.0,581.0,445.0,539.0,602.0,485.0,513.0,548.0,494.0,571.0,468.0,515.0,465.0,498.0,470.0,702.0,563.0,509.0,426.0,620.0,473.0,607.0,525.0,694.0,481.0,618.0,613.0,535.0,616.0,476.0,452.0,534.0
dining,265.0,201.0,195.0,245.0,192.0,387.0,276.0,252.0,284.0,184.0,375.0,331.0,268.0,341.0,219.0,288.0,237.0,202.0,383.0,307.0,180.0,210.0,179.0,293.0,209.0,265.0,245.0,349.0,219.0,233.0,245.0,379.0,270.0,481.0,229.0,227.0,249.0,293.0,247.0,237.0,224.0,272.0,255.0,276.0,320.0,355.0,275.0,392.0,408.0,278.0,325.0,268.0,241.0,203.0,261.0,204.0,290.0,154.0,238.0,266.0,236.0,266.0,373.0,210.0,227.0,326.0,266.0,271.0,227.0,320.0,187.0,240.0,281.0,192.0,220.0,283.0,252.0,284.0,204.0,286.0,223.0,248.0,252.0,365.0,341.0,319.0,182.0,271.0,284.0,362.0,284.0,396.0,176.0,344.0,382.0,291.0,375.0,257.0,293.0,264.0
library,115.0,67.0,81.0,67.0,56.0,80.0,74.0,73.0,71.0,34.0,51.0,47.0,90.0,70.0,79.0,70.0,82.0,81.0,76.0,71.0,81.0,60.0,69.0,100.0,69.0,63.0,87.0,96.0,69.0,43.0,42.0,51.0,69.0,109.0,50.0,68.0,70.0,55.0,92.0,69.0,70.0,45.0,93.0,97.0,78.0,61.0,64.0,86.0,69.0,70.0,87.0,71.0,60.0,78.0,98.0,77.0,97.0,54.0,72.0,51.0,61.0,77.0,68.0,61.0,77.0,78.0,66.0,66.0,50.0,107.0,73.0,51.0,72.0,100.0,87.0,77.0,69.0,99.0,87.0,90.0,78.0,65.0,72.0,62.0,85.0,53.0,79.0,65.0,69.0,74.0,72.0,81.0,59.0,63.0,49.0,77.0,88.0,97.0,53.0,69.0
gym,132.0,164.0,124.0,147.0,123.0,115.0,161.0,149.0,118.0,140.0,125.0,120.0,119.0,119.0,131.0,152.0,117.0,122.0,110.0,100.0,120.0,173.0,153.0,164.0,141.0,110.0,121.0,141.0,139.0,130.0,121.0,148.0,133.0,102.0,171.0,122.0,140.0,129.0,127.0,165.0,151.0,122.0,139.0,106.0,143.0,152.0,130.0,152.0,174.0,125.0,146.0,128.0,158.0,119.0,125.0,105.0,119.0,146.0,124.0,144.0,132.0,167.0,154.0,152.0,155.0,116.0,156.0,140.0,143.0,142.0,174.0,139.0,107.0,160.0,149.0,151.0,134.0,114.0,142.0,135.0,122.0,140.0,133.0,103.0,130.0,145.0,142.0,154.0,121.0,123.0,118.0,121.0,146.0,149.0,157.0,100.0,134.0,151.0,140.0,154.0
social,245.0,307.0,272.0,255.0,316.0,226.0,270.0,253.0,307.0,301.0,309.0,300.0,297.0,261.0,294.0,278.0,327.0,292.0,314.0,298.0,318.0,248.0,280.0,275.0,307.0,295.0,291.0,270.0,283.0,340.0,289.0,305.0,313.0,250.0,317.0,301.0,299.0,276.0,290.0,320.0,290.0,314.0,288.0,277.0,309.0,255.0,322.0,227.0,230.0,283.0,264.0,312.0,308.0,295.0,307.0,314.0,297.0,299.0,262.0,311.0,261.0,292.0,293.0,313.0,280.0,309.0,280.0,272.0,306.0,243.0,315.0,309.0,337.0,278.0,307.0,272.0,313.0,276.0,315.0,311.0,281.0,285.0,274.0,246.0,264.0,298.0,317.0,281.0,311.0,300.0,302.0,274.0,312.0,283.0,270.0,280.0,254.0,269.0,305.0,293.0
transit,0.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
offCampus,5.0,6.0,10.0,7.0,2.0,4.0,5.0,3.0,5.0,6.0,2.0,1.0,6.0,1.0,3.0,3.0,3.0,2.0,3.0,7.0,3.0,2.0,6.0,6.0,7.0,5.0,5.0,5.0,4.0,11.0,7.0,0.0,4.0,3.0,7.0,8.0,7.0,3.0,5.0,1.0,8.0,4.0,3.0,4.0,3.0,5.0,7.0,6.0,5.0,4.0,2.0,2.0,2.0,8.0,4.0,7.0,0.0,5.0,5.0,4.0,5.0,0.0,2.0,4.0,6.0,6.0,5.0,3.0,6.0,7.0,6.0,4.0,5.0,4.0,4.0,9.0,6.0,3.0,4.0,7.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,3.0,7.0,3.0,9.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0
office,14.0,3.0,1.0,4.0,0.0,22.0,5.0,18.0,17.0,13.0,3.0,41.0,10.0,10.0,16.0,19.0,3.0,1.0,36.0,17.0,6.0,1.0,3.0,10.0,0.0,12.0,4.0,11.0,13.0,3.0,3.0,75.0,5.0,59.0,17.0,16.0,0.0,4.0,1.0,13.0,0.0,2.0,18.0,8.0,7.0,12.0,3.0,41.0,30.0,3.0,46.0,24.0,14.0,12.0,3.0,2.0,21.0,2.0,2.0,5.0,3.0,24.0,46.0,12.0,20.0,6.0,14.0,19.0,7.0,7.0,0.0,3.0,17.0,3.0,6.0,2.0,7.0,26.0,4.0,5.0,3.0,4.0,16.0,29.0,8.0,17.0,9.0,2.0,20.0,27.0,4.0,52.0,5.0,18.0,18.0,4.0,27.0,3.0,6.0,19.0
