,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
largeGathering,3.0,5.0,4.0,3.0,11.0,2.0,9.0,12.0,18.0,1.0,2.0,6.0,0.0,4.0,5.0,0.0,1.0,9.0,1.0,6.0,11.0,11.0,0.0,4.0,7.0,4.0,18.0,22.0,9.0,7.0,12.0,4.0,9.0,6.0,7.0,16.0,0.0,12.0,12.0,7.0,10.0,1.0,1.0,4.0,8.0,10.0,2.0,5.0,4.0,7.0,17.0,3.0,3.0,3.0,11.0,4.0,8.0,11.0,4.0,4.0,6.0,9.0,2.0,4.0,10.0,9.0,3.0,3.0,14.0,5.0,10.0,1.0,16.0,8.0,11.0,6.0,8.0,6.0,1.0,1.0,7.0,3.0,13.0,4.0,16.0,9.0,6.0,3.0,4.0,7.0,8.0,10.0,8.0,7.0,6.0,13.0,5.0,9.0,1.0,4.0
dorm,28.0,36.0,34.0,47.0,48.0,30.0,40.0,36.0,44.0,37.0,37.0,45.0,34.0,53.0,50.0,26.0,30.0,55.0,36.0,39.0,42.0,43.0,19.0,34.0,37.0,44.0,55.0,29.0,56.0,36.0,36.0,35.0,37.0,43.0,46.0,36.0,14.0,39.0,51.0,50.0,43.0,44.0,32.0,54.0,54.0,57.0,52.0,32.0,19.0,34.0,61.0,36.0,46.0,37.0,57.0,39.0,56.0,49.0,32.0,36.0,47.0,48.0,40.0,51.0,52.0,47.0,43.0,41.0,63.0,31.0,43.0,36.0,41.0,55.0,51.0,46.0,45.0,24.0,39.0,21.0,50.0,43.0,38.0,45.0,36.0,35.0,45.0,49.0,50.0,33.0,39.0,41.0,44.0,52.0,32.0,49.0,48.0,51.0,14.0,38.0
classroom,7.0,9.0,9.0,17.0,14.0,10.0,6.0,13.0,16.0,10.0,11.0,8.0,11.0,17.0,13.0,12.0,21.0,11.0,22.0,9.0,11.0,15.0,4.0,9.0,15.0,20.0,13.0,7.0,20.0,5.0,16.0,17.0,14.0,18.0,10.0,11.0,3.0,14.0,12.0,14.0,11.0,9.0,7.0,12.0,16.0,11.0,17.0,11.0,4.0,18.0,17.0,13.0,16.0,11.0,10.0,11.0,20.0,16.0,9.0,11.0,18.0,19.0,10.0,12.0,14.0,10.0,12.0,12.0,19.0,8.0,13.0,14.0,14.0,14.0,17.0,16.0,19.0,9.0,13.0,5.0,12.0,10.0,10.0,13.0,21.0,9.0,10.0,14.0,8.0,15.0,12.0,16.0,17.0,11.0,10.0,13.0,12.0,6.0,1.0,9.0
dining,13.0,23.0,7.0,32.0,19.0,21.0,18.0,22.0,25.0,17.0,18.0,23.0,12.0,23.0,44.0,9.0,27.0,28.0,15.0,15.0,25.0,30.0,11.0,19.0,15.0,27.0,35.0,21.0,37.0,26.0,19.0,11.0,11.0,30.0,25.0,18.0,4.0,15.0,28.0,27.0,15.0,20.0,17.0,33.0,27.0,40.0,36.0,16.0,16.0,16.0,35.0,22.0,28.0,26.0,25.0,23.0,30.0,26.0,16.0,20.0,29.0,26.0,24.0,23.0,24.0,21.0,20.0,21.0,48.0,15.0,17.0,24.0,18.0,37.0,22.0,27.0,24.0,10.0,22.0,8.0,38.0,30.0,19.0,23.0,16.0,19.0,17.0,33.0,40.0,15.0,30.0,19.0,38.0,29.0,13.0,30.0,25.0,29.0,2.0,31.0
library,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
gym,1.0,2.0,2.0,3.0,7.0,4.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,0.0,0.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,1.0,5.0,1.0,6.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,6.0,3.0,4.0,4.0,6.0,5.0,0.0,1.0,3.0,1.0,2.0,5.0,7.0,2.0,5.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,4.0,3.0,4.0,0.0,8.0,6.0,1.0,3.0,4.0,2.0,8.0,2.0,4.0,6.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,6.0,7.0,1.0,3.0,2.0,6.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0
social,8.0,15.0,14.0,7.0,13.0,9.0,14.0,6.0,12.0,14.0,19.0,11.0,10.0,16.0,13.0,10.0,12.0,16.0,10.0,15.0,18.0,16.0,8.0,13.0,14.0,19.0,20.0,17.0,10.0,10.0,17.0,18.0,16.0,15.0,23.0,11.0,5.0,17.0,20.0,24.0,17.0,23.0,14.0,9.0,25.0,23.0,9.0,10.0,4.0,14.0,20.0,15.0,14.0,7.0,14.0,14.0,10.0,14.0,11.0,13.0,15.0,15.0,9.0,15.0,21.0,20.0,21.0,13.0,18.0,7.0,12.0,13.0,11.0,27.0,17.0,15.0,12.0,10.0,16.0,17.0,24.0,10.0,16.0,18.0,15.0,13.0,23.0,15.0,20.0,14.0,12.0,12.0,13.0,17.0,11.0,14.0,13.0,19.0,8.0,9.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,7.0,9.0,5.0,12.0,8.0,6.0,9.0,9.0,11.0,7.0,6.0,8.0,9.0,7.0,10.0,4.0,7.0,7.0,5.0,7.0,3.0,7.0,3.0,9.0,6.0,9.0,6.0,8.0,8.0,4.0,6.0,4.0,11.0,4.0,9.0,8.0,3.0,7.0,8.0,6.0,4.0,8.0,6.0,6.0,6.0,4.0,10.0,5.0,3.0,10.0,7.0,5.0,8.0,7.0,10.0,3.0,6.0,8.0,9.0,6.0,6.0,10.0,10.0,4.0,6.0,10.0,6.0,7.0,15.0,6.0,6.0,9.0,3.0,7.0,8.0,7.0,5.0,9.0,12.0,7.0,5.0,9.0,7.0,6.0,7.0,7.0,4.0,9.0,9.0,4.0,12.0,6.0,5.0,8.0,7.0,8.0,5.0,8.0,6.0,7.0
office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
