,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
dorm,28,36,34,47,48,30,40,36,44,37,37,45,34,53,50,26,30,55,36,39,42,43,19,34,37,44,55,29,56,36,36,35,37,43,46,36,14,39,51,50,43,44,32,54,54,57,52,32,19,34,61,36,46,37,57,39,56,49,32,36,47,48,40,51,52,47,43,41,63,31,43,36,41,55,51,46,45,24,39,21,50,43,38,45,36,35,45,49,50,33,39,41,44,52,32,49,48,51,14,38
classroom,7,9,9,17,14,10,6,13,16,10,11,8,11,17,13,12,21,11,22,9,11,15,4,9,15,20,13,7,20,5,16,17,14,18,10,11,3,14,12,14,11,9,7,12,16,11,17,11,4,18,17,13,16,11,10,11,20,16,9,11,18,19,10,12,14,10,12,12,19,8,13,14,14,14,17,16,19,9,13,5,12,10,10,13,21,9,10,14,8,15,12,16,17,11,10,13,12,6,1,9
dining,13,23,7,32,19,21,18,22,25,17,18,23,12,23,44,9,27,28,15,15,25,30,11,19,15,27,35,21,37,26,19,11,11,30,25,18,4,15,28,27,15,20,17,33,27,40,36,16,16,16,35,22,28,26,25,23,30,26,16,20,29,26,24,23,24,21,20,21,48,15,17,24,18,37,22,27,24,10,22,8,38,30,19,23,16,19,17,33,40,15,30,19,38,29,13,30,25,29,2,31
library,1,0,3,2,0,0,0,3,2,1,0,0,0,0,1,2,1,0,1,1,1,2,0,1,1,0,3,0,0,1,2,1,0,0,2,1,0,0,3,1,0,2,3,0,0,3,3,0,0,0,1,0,1,0,4,2,0,1,1,2,0,0,2,0,2,0,0,3,2,2,1,2,0,0,1,0,0,1,0,1,3,0,2,0,0,1,0,2,0,1,2,3,2,1,0,0,1,0,1,0
gym,1,2,2,3,7,4,0,0,4,4,4,3,2,5,3,5,3,4,2,4,3,4,0,0,2,4,2,0,1,1,2,1,5,1,6,1,3,5,2,1,1,4,6,3,4,4,6,5,0,1,3,1,2,5,7,2,5,1,0,1,4,1,4,1,4,5,4,3,4,0,8,6,1,3,4,2,8,2,4,6,1,1,1,4,2,2,3,6,7,1,3,2,6,3,3,3,5,3,0,0
social,8,15,14,7,13,9,14,6,12,14,19,11,10,16,13,10,12,16,10,15,18,16,8,13,14,19,20,17,10,10,17,18,16,15,23,11,5,17,20,24,17,23,14,9,25,23,9,10,4,14,20,15,14,7,14,14,10,14,11,13,15,15,9,15,21,20,21,13,18,7,12,13,11,27,17,15,12,10,16,17,24,10,16,18,15,13,23,15,20,14,12,12,13,17,11,14,13,19,8,9
transit,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offCampus,7,9,5,12,8,6,9,9,11,7,6,8,9,7,10,4,7,7,5,7,3,7,3,9,6,9,6,8,8,4,6,4,11,4,9,8,3,7,8,6,4,8,6,6,6,4,10,5,3,10,7,5,8,7,10,3,6,8,9,6,6,10,10,4,6,10,6,7,15,6,6,9,3,7,8,7,5,9,12,7,5,9,7,6,7,7,4,9,9,4,12,6,5,8,7,8,5,8,6,7
office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
largeGathering,3,5,4,3,11,2,9,12,18,1,2,6,0,4,5,0,1,9,1,6,11,11,0,4,7,4,18,22,9,7,12,4,9,6,7,16,0,12,12,7,10,1,1,4,8,10,2,5,4,7,17,3,3,3,11,4,8,11,4,4,6,9,2,4,10,9,3,3,14,5,10,1,16,8,11,6,8,6,1,1,7,3,13,4,16,9,6,3,4,7,8,10,8,7,6,13,5,9,1,4
dorm_hub,4,0,3,6,4,0,3,1,6,4,5,8,5,3,1,0,1,7,3,4,4,3,1,1,3,2,2,1,6,6,3,2,3,0,2,3,0,1,4,4,3,3,1,7,3,4,6,3,0,1,1,2,7,2,7,6,6,1,2,2,4,5,2,6,5,5,3,6,3,4,5,0,3,4,5,4,3,0,1,0,1,2,0,5,4,1,1,5,1,2,2,5,1,5,2,3,6,5,1,4
classroom_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dining_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
library_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social_hub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transit_hub,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
